participant_id,stroop_interference,wcst_pe_rate,wcst_total_errors,prp_bottleneck,ucla_total,age,gender,education,gender_coded,z_ucla,z_age,ucla_x_gender,z_stroop,z_wcst_pe,ef_composite,distance_from_healthy,cluster,is_wcst_impaired
Qg9GDwQ9hBNkDLt50CNLd4NqRlX2,95.0,0.10144927536231885,8.0,640.0,64.0,24,male,대학교 재학,1,1.8240795615381016,1.2657537775172196,1.8240795615381016,-0.502606680563251,-0.14126557322527455,-0.32193612689426276,0.40675974443279594,1.0,0
LliUMEIsrCVZ88YFQfevan2Og4z1,107.0,0.13402061855670103,18.0,442.0,28.0,19,male,대학교 재학,1,-1.1005135596928215,-0.581163213023471,-1.1005135596928215,-0.3799199399863793,0.5393880269893337,0.07973404350147723,1.098289027083,1.0,0
EUhcW9kURScie1DwGPHqmNqotJB2,131.0,0.3203125,51.0,847.0,36.0,19,female,대학교 재학,-1,-0.45060397719706075,-0.581163213023471,0.45060397719706075,-0.1345464588326359,4.432388049690411,2.1489207954288876,4.994255367965323,0.0,1
aj2Ivskb3BgyvBNTLIKlSZG0Sq22,-35.0,0.1092436974789916,24.0,685.0,54.0,18,female,대학교 재학,-1,1.0116925834184007,-0.950546611131609,-1.0116925834184007,-1.8317130368126942,0.02161691656472956,-0.9050480601239823,1.3879613582563408,1.0,0
iZScIvzhvAdvlsBXU5D8IHwvG6Q2,229.0,0.15873015873015872,42.0,278.0,54.0,19,male,대학교 재학,1,1.0116925834184007,-0.581163213023471,1.0116925834184007,0.8673952558784829,1.0557510574710582,0.9615731566747705,2.146147135635314,0.0,1
wdppvL4tIkVlGjou6aYzzjlaZXB2,120.0,0.234375,75.0,549.0,44.0,18,male,대학교 재학,1,0.19930560529869992,-0.950546611131609,0.19930560529869992,-0.24700930436143495,2.6365250906666113,1.1947578931525882,3.1956539359527345,0.0,1
jpklrtZKDdb3UbsoQ7Ho5KuR5yb2,165.0,0.03125,4.0,617.0,41.0,19,female,대학교 재학,-1,-0.044410488137210324,-0.581163213023471,0.044410488137210324,0.21306597280183387,-1.6082419033896438,-0.697587965293905,1.3182182759467242,1.0,0
K26uNuY0VNPjJNF26wEx3bFg0kr2,89.0,0.1,7.0,620.0,43.0,19,female,대학교 재학,-1,0.11806690748672984,-0.581163213023471,-0.11806690748672984,-0.5639500508516868,-0.17155153617060348,-0.36775079351114515,0.3718215856193422,1.0,0
pFlYc8DBmSXkvMIRgXFxvo3JB6j1,68.0,0.16470588235294117,15.0,824.0,29.0,19,female,대학교 재학,-1,-1.0192748618808514,-0.581163213023471,1.0192748618808514,-0.7786518468612122,1.1806276329767285,0.2009878930577581,1.7373184692639914,0.0,1
DPvStUYSmohmXwFwaKRqHv89R3k1,218.0,0.047619047619047616,3.0,780.0,52.0,21,male,대학교 재학,1,0.8492151877944606,0.1576035831928053,0.8492151877944606,0.7549324103496838,-1.2661727683374915,-0.2556201789939038,1.5039582027150364,2.0,0
