participant_id,pes,post_error_accuracy,post_correct_accuracy,accuracy_recovery,n_post_error,n_post_correct
DPvStUYSmohmXwFwaKRqHv89R3k1,,,0.9491525423728814,,3,59
DaRehVxIOhXtEtUExdgvUl0mKcx2,160.90677596040769,0.36666666666666664,0.639344262295082,0.27267759562841537,60,61
Df83JuPuJkXqTGbENhM2gw5SJM43,691.1600000000092,0.75,0.88,0.13,12,75
DzB19GqCB7fyrlEPexogWkjFzEx2,655.1692307689252,0.5833333333333334,0.9076923076923077,0.3243589743589743,12,65
EEodWwGh0wWq5f8JmzfKvq0lyeu1,840.230769230733,0.5714285714285714,0.8974358974358975,0.32600732600732607,14,78
EUhcW9kURScie1DwGPHqmNqotJB2,231.74333331902835,0.44,0.7066666666666667,0.26666666666666666,50,75
EmfmKFDgWJdW47a6CNTNjnbYaPh2,1475.4789610599544,0.6363636363636364,0.9,0.26363636363636367,11,70
EoToosG69XMp4LTYdB6sB9WTrv22,,,0.9833333333333333,,1,60
Fz7EUjZCLuUBxLDUVtN6djaBTy42,45.69276019216113,0.6153846153846154,0.8970588235294118,0.2816742081447964,13,68
G1Ff3XYUZMRsPafyEQ80ussnVlf1,454.25663864919784,0.5,0.7529411764705882,0.2529411764705882,42,85
G9VruXninjUdE9czK2DambZl5li2,804.2702702702829,0.5454545454545454,0.8378378378378378,0.2923832923832924,22,74
GDZGRW51kbWtAdUIHCtEd8sAtqY2,741.2750919432765,0.4117647058823529,0.90625,0.4944852941176471,17,64
GE4hogtdLdTFbNasENgtm6SO3hC3,739.9987893497107,0.5714285714285714,0.9491525423728814,0.37772397094431,7,59
GEwkBw3YHaNp3TCh9YS9PKVfavz1,1074.4600288620243,0.6363636363636364,0.8888888888888888,0.2525252525252525,11,63
HSggdq91WiQp16bOj7V3dABkcgk2,930.1961025565713,0.7692307692307693,0.88,0.11076923076923073,13,75
HbydnnT1hUP3WagAy2TJAc6GqVs2,854.6566101745022,0.8,0.9491525423728814,0.14915254237288134,5,59
HyQM2xKwwuVfqidmRYF6TiRk90C2,1145.109722222305,0.8,0.8888888888888888,0.0888888888888888,10,72
IaTJhUGICmO9xcL3605RW8QHneN2,313.7555747089373,0.75,0.8275862068965517,0.07758620689655171,20,87
JntnHLHjYhc0xJJQALM3h9R5Ozv1,234.14381718122831,0.5833333333333334,0.9032258064516129,0.3198924731182795,12,62
Jp6aXC9KLjcFZBaQdZl4i9dUscl1,,,1.0,,0,59
K26uNuY0VNPjJNF26wEx3bFg0kr2,794.8235023040615,0.7142857142857143,0.9193548387096774,0.20506912442396308,7,62
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,885.5257918551899,0.5882352941176471,0.8461538461538461,0.25791855203619907,17,65
LSLmd8jENtONZFVkIpRDX665Bu73,1030.9493939168528,0.6666666666666666,0.8636363636363636,0.19696969696969702,15,66
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,1261.7334016471125,1.0,0.8852459016393442,-0.11475409836065575,8,61
LliUMEIsrCVZ88YFQfevan2Og4z1,436.845598845601,0.7222222222222222,0.8311688311688312,0.10894660894660901,18,77
M4Km1Q2P2oPliChDQkwl6k20FUI3,1083.547906426167,0.7692307692307693,0.8734177215189873,0.10418695228821806,13,79
MMSYeiMQi3gMr4PrXQcpXzFiegj2,225.4051782362326,0.4838709677419355,0.8157894736842105,0.331918505942275,31,76
O61Eik2zvrSQLMNpFbTNEgjWwMr2,722.9227272727048,0.6363636363636364,0.8939393939393939,0.25757575757575757,11,66
OExlWyngGfPrScDYjaRcv5PIAet1,,,0.95,,3,60
ORuVuFPU5idz3fMoXTGsbwToW2j2,440.3568066901521,0.4117647058823529,0.9,0.4882352941176471,17,70
ORvIk1xRWIQmKuLVe6GXNouvAXx2,957.9948240266824,0.5714285714285714,0.8260869565217391,0.25465838509316774,21,69
P9bS6GGJcIXivbMWo4ibJ5jgUPG2,699.2494350451198,0.8333333333333334,0.9152542372881356,0.08192090395480223,6,59
PLreonkqaMeFc0UqxKUelH44UQu1,551.0157142874384,0.75,0.8,0.050000000000000044,20,70
PkpTH7pWpEOG9A86xSloOSozwTk2,-159.0635919334677,0.3898305084745763,0.5384615384615384,0.14863102998696215,59,52
QG6VXg7od2fHJ1SF9ZzYBqUa1FY2,815.3839682533568,0.7,0.9047619047619048,0.2047619047619048,10,63
QbOEVCaZLUMOgltUdXm58oZOALv2,839.6579906034135,0.6086956521739131,0.8108108108108109,0.20211515863689777,23,74
Qg9GDwQ9hBNkDLt50CNLd4NqRlX2,785.2187012461875,0.8571428571428571,0.8909090909090909,0.03376623376623378,7,55
QreA2rLiUhV3YHeMfuHMPdGbpJ53,263.7889758661845,0.47619047619047616,0.8767123287671232,0.4005218525766471,21,73
Qv0jhW3sqicqQvd7LfReAsI7nD73,1263.1305555483655,0.6666666666666666,0.8888888888888888,0.2222222222222222,12,63
Rc706mP0TSeIoIpMYH1SpRXjOxA2,,,0.9824561403508771,,1,57
Rmd4rr2vGjOoLvdfYd4EdYyxK3m1,470.85230772632826,0.875,0.8923076923076924,0.017307692307692357,8,65
Ru3Qf6pXZua1DfNkQdhbor6iJ403,916.0805006586713,0.7272727272727273,0.8840579710144928,0.1567852437417655,11,69
SOhR7IO689NQCPQu56SjATO8FR92,634.2278714435031,0.5,0.8356164383561644,0.3356164383561644,26,73
SPCT9D90pRa1ihXS5jEw6vCmquI3,535.610068968507,0.56,0.8390804597701149,0.27908045977011486,25,87
SdDjNMBD2ZMTEwUphkohi2cZwUx1,390.4924999290042,0.8,0.8888888888888888,0.0888888888888888,10,72
SpSfX0ZcfcPLdlOENlfdfvEPwru2,1092.8369175626963,0.7777777777777778,0.9032258064516129,0.1254480286738351,9,62
ToTCRJ4EX9OL6UlJqmDkaEbggWF2,861.3722222223125,0.6666666666666666,0.9090909090909091,0.24242424242424243,9,66
Ub7nV8F55kPruh35ZpUcKoBUyn63,859.2689976689767,0.6923076923076923,0.8787878787878788,0.1864801864801865,13,66
UbwuSMtBsHdW3Ji41opk3GInMqi2,337.2994402987889,0.875,0.8955223880597015,0.020522388059701524,8,67
VwTymW8T68MfpnJvZ2X97ILqDWS2,516.8249138936519,0.6153846153846154,0.8805970149253731,0.2652123995407577,13,67
WKzqsLX1lNVSdbGgYTTVGtFwsrF3,884.1794871794989,1.0,0.9230769230769231,-0.07692307692307687,6,78
WbOfW9KmUkPQK8o5hlHJnJFdpp92,659.3124999988825,0.5625,0.8875,0.32499999999999996,16,80
WcTsIpSoEhYeIBSNjAbbdaNSBya2,291.6825000014155,0.55,0.8472222222222222,0.29722222222222217,20,72
WeHQDy9BWldTlaQDVVlsJNCqwxA2,455.6221153846034,0.5384615384615384,0.825,0.2865384615384615,26,80
Wfo71fsX1VVfPZnzhT7HEYBTwnq1,794.243143357922,0.5454545454545454,0.9152542372881356,0.3697996918335902,11,59
WnC6Uscb5VMIr43GASKiUCO3AYH2,1102.1908196769289,0.8,0.8852459016393442,0.0852459016393442,10,61
WqoZv41KTtTCuPKBPyClregrKAi1,523.9787644787937,0.7142857142857143,0.8648648648648649,0.1505791505791506,14,74
XehZHBpwr5MYzUXkj0FAYCsFG922,445.3581300807557,0.5333333333333333,0.8170731707317073,0.28373983739837394,30,82
YEU5ox3jteVINfdSTg5ymqYcS9o2,1849.9566586069566,0.5714285714285714,0.9491525423728814,0.37772397094431,7,59
Yco8O7tmHlbsUBfKW2ywcZByGO32,,,0.95,,3,60
Z3GikGkUkjMOa6UK1xdIDvuGRHp2,709.6606725158051,1.0,0.881578947368421,-0.11842105263157898,9,76
aM2995jJmJWvr6cneaGH58HauIg2,339.8716269881718,0.5714285714285714,0.8888888888888888,0.31746031746031744,14,72
afdTz6deeYWf1qKNdUpKAYKN3hz1,383.37499999865486,0.4166666666666667,0.75,0.3333333333333333,36,64
aj2Ivskb3BgyvBNTLIKlSZG0Sq22,124.32499999949277,0.7083333333333334,0.8191489361702128,0.11081560283687941,24,94
azdL1gX79EVd9iepyCAVQrqIaQF3,904.239705882421,0.75,0.8823529411764706,0.13235294117647056,12,68
bXpFswkI7TfIfL6G4FqWrbaxTGx2,318.4557657657757,0.6,0.8783783783783784,0.2783783783783784,15,74
biQ16yPcCKSkJQhSxUKcDc8gm8I2,-103.05846774377801,0.7096774193548387,0.7604166666666666,0.050739247311827884,31,96
btpcu1rB1JeSTo2upeHGPdv8kYG3,276.54396556215033,0.75,0.896551724137931,0.14655172413793105,8,58
c0hRe9PCPPZs3HWFqhIQargNlp52,832.5177680766724,0.6153846153846154,0.8873239436619719,0.27193932827735645,13,71
cC0BEsQjfrcuCyoaOas9zJT0MNs2,184.0823809351241,0.42857142857142855,0.8214285714285714,0.39285714285714285,35,84
cEIs6U87xfbSL5eFTXDK77MmvNf1,1046.0445183749214,0.6428571428571429,0.8953488372093024,0.25249169435215946,14,86
cUugYJoOmOSFc0Mh5JD0ZXJrYN52,423.61773989868425,0.8125,0.8686868686868687,0.05618686868686873,16,99
cec6NLR2ZLVVw6h0TEKSNIH11v02,-58.69717647058815,0.49019607843137253,0.6666666666666666,0.1764705882352941,51,75
d9rwc0NXArcNlJvFsgKhQqkGxJq2,1408.151141556975,0.6666666666666666,0.8904109589041096,0.22374429223744297,12,73
dnkEqKuvjoQzAQm5yXlrAOp9ZlD3,1472.6834091105245,0.625,0.9090909090909091,0.28409090909090906,8,55
e7NIVznoeNMC7bBejXnMVvFNPfx1,1533.0316666849637,0.45454545454545453,0.9166666666666666,0.4621212121212121,11,60
fEq0OghbLpfD1jigl1Mbz96aMbg2,587.9872727255479,0.55,0.8333333333333334,0.2833333333333333,20,66
foaW7wtvY3XLNdguFUK7OvOefP93,1119.0318181817995,0.8888888888888888,0.8787878787878788,-0.010101010101010055,9,66
g2G9l3no7RbeRA9a1W3JnfegTnh2,501.55155502594835,0.6363636363636364,0.8157894736842105,0.17942583732057416,22,76
h12a1QYNpYbl3T0Gj1PxUz3EnEx2,885.9400921659355,0.8571428571428571,0.9032258064516129,0.04608294930875578,7,62
h5RYP03wJuVN0xo7qAR8CKFxLaj1,493.32826022340987,0.4418604651162791,0.7721518987341772,0.33029143361789814,43,79
hrRr560eFBNwJ0CcUjCqtSD8TdP2,498.6666666669055,0.6923076923076923,0.875,0.1826923076923077,13,72
i1tBstVkNiVP0qro7TgGD08IGGa2,901.1145182946645,0.7272727272727273,0.8805970149253731,0.15332428765264583,11,67
iKVZi0Oo96UrMBhPQMHWFcf55uA3,738.9031476996793,0.7142857142857143,0.9322033898305084,0.21791767554479413,7,59
iWsc4pghIEWOQUZKuQJMfe516UI3,1586.1701492616248,0.8181818181818182,0.8805970149253731,0.06241519674355489,11,67
iZScIvzhvAdvlsBXU5D8IHwvG6Q2,753.3749999983443,0.5833333333333334,0.8055555555555556,0.2222222222222222,24,72
idP8RVfm74N86O0dszLXANIpjXv2,1019.5875000050291,0.75,0.90625,0.15625,8,64
iv9ew8Ci8lOzvXFiJw1acJfuRAl2,1284.162711864384,0.4,0.8983050847457628,0.49830508474576274,15,59
jpklrtZKDdb3UbsoQ7Ho5KuR5yb2,,,0.9655172413793104,,3,58
jzdk8E3tVXTXIozlfK5oeEb7wWp2,32.58931158591008,0.75,0.9130434782608695,0.1630434782608695,8,69
k8j7IpYfd8dYB0L1qyLCcrwoFOy1,512.9977272640574,0.875,0.9204545454545454,0.045454545454545414,8,88
kI0YdycDU0X5hcoEPjEON3Ionyd2,536.5081318493728,0.6153846153846154,0.9,0.2846153846153846,13,70
kR2rCtaPyPaj7YMizKUDn5xL2qx1,663.979821627624,0.6153846153846154,0.8840579710144928,0.2686733556298774,13,69
kgSRatooJJfDaMZ2yIURqb8aJuE3,352.17000000178814,0.6,0.9666666666666667,0.3666666666666667,5,60
kxerHPSL3bQjD74HhiebYf3blPr1,-253.79475703323772,0.2647058823529412,0.5869565217391305,0.3222506393861893,68,46
lHDkoPQu5reNCO45npeYSS9eLQl1,944.5077356677398,0.5294117647058824,0.7671232876712328,0.23771152296535047,34,73
lpzDdvuMkKWkPxu6xeclmdctEp42,713.7975473406589,0.6153846153846154,0.8985507246376812,0.28316610925306573,13,69
m69r9GQTk2b51mvxrFLt4fZeJi52,1081.0764163372514,0.8181818181818182,0.8840579710144928,0.06587615283267456,11,69
mUZzgdWKnPb2txOkJg9FHgqX5792,619.8080128309052,0.5416666666666666,0.8461538461538461,0.3044871794871795,24,78
mg2WZiRBn4NQDKiMK43Y8dBqyG53,128.37826086956295,0.5,0.8478260869565217,0.34782608695652173,30,92
mweMgSlGM2VxThhwnupYxYzUbR23,202.22379679143364,0.5454545454545454,0.9264705882352942,0.38101604278074874,11,68
mwsliuPsLFhRFjtjQwYkqcCRDvi2,1326.9661110560098,0.6666666666666666,0.9,0.2333333333333334,9,60
nT1qJOiMyDdJ9ui4el195A8Hsgs1,347.5958525332437,0.8571428571428571,0.9032258064516129,0.04608294930875578,7,62
ohl9pXqpeSMfepC3w9h0tW5SbJw1,403.9955737705559,0.7,0.8852459016393442,0.1852459016393443,10,61
pFlYc8DBmSXkvMIRgXFxvo3JB6j1,772.9363636363537,0.4666666666666667,0.8939393939393939,0.42727272727272725,15,66
pRQimOpZtsekBI2I1kbnD3pycmo1,1275.401666655143,0.5,0.9166666666666666,0.41666666666666663,12,60
pcbRW89vVJcviD87V3uxyG4I9st2,,,0.9696969696969697,,2,66
q0Atnpm0jZS5swcVmq0EMalQUKw1,1246.0000000000057,0.6,0.9166666666666666,0.31666666666666665,10,60
qZZiI6GzgxOrpQDGu42ZA0xsGEJ2,-111.65714285581817,0.4444444444444444,0.5555555555555556,0.11111111111111116,63,63
qnR5PLX1v3fPi6SwTJMwGcadwyD3,441.1662046930303,0.6428571428571429,0.8656716417910447,0.22281449893390182,14,67
qsRKc69hK6e8Uu6vr2pBO8NbpMt2,624.1203463204222,1.0,0.9090909090909091,-0.09090909090909094,7,66
rFV2EUbp64f5ORSh7DqwmCQmeqT2,1201.6188311754884,0.6666666666666666,0.8961038961038961,0.22943722943722944,12,77
rNe3cRPepZUXbJhmmfQZiGsVzX22,504.53264540727446,0.6153846153846154,0.8170731707317073,0.20168855534709185,26,82
rUuJv5gl7dWVo7UPQWMx4bohxhK2,1259.6110663984252,0.6428571428571429,0.8732394366197183,0.23038229376257535,14,71
ric6cNjG25XmZJCiKZDOxzeezao1,156.21908108114746,0.48,0.8513513513513513,0.37135135135135133,25,74
roaf78tUWxWSEjAUcUu8O7mrQbl1,1452.3867741953943,0.8,0.8870967741935484,0.08709677419354833,10,62
sqfXvh6GJLaYAqr3RvHrixP8IOx1,1169.2965812194043,0.5555555555555556,0.9230769230769231,0.36752136752136755,9,65
ssPK6ISW0HerTGke9hznqJ2LpKu1,345.18585974166854,0.6923076923076923,0.8676470588235294,0.17533936651583715,13,68
tB4wPBbnWJUXeOC3Zxjph0Esgjf1,171.80438872340324,0.5172413793103449,0.8051948051948052,0.2879534258844604,29,77
tPxs1KmmX0ZKjHS9Nr63xoOPCRr2,661.7202188304213,0.8333333333333334,0.9180327868852459,0.08469945355191255,6,61
tv88wS5Nf6SjruozSmXJxQSmx6J3,111.79804194173607,0.6363636363636364,0.8923076923076924,0.255944055944056,11,65
u64Uf920g5VD9Byq26LT2rs5o4t1,626.2068181982772,0.6875,0.875,0.1875,16,88
uM3kxG78g5ZtXtbAEzZyM4XFmaI3,1051.7772727229376,0.9090909090909091,0.8636363636363636,-0.045454545454545414,11,66
v8nNKiWvPdcjiHXZci39OuFTY6M2,1375.3078947368551,0.875,0.8947368421052632,0.019736842105263164,8,57
wdppvL4tIkVlGjou6aYzzjlaZXB2,136.8654265216037,0.2535211267605634,0.6415094339622641,0.38798830720170074,71,53
wkhxvE50megJGMA1EiROSZIJWNq1,1466.992812500568,0.55,0.84375,0.29374999999999996,20,64
xBGZhFOeypWnqzSQClkrwV9z2vF3,721.7317460317531,0.6428571428571429,0.8571428571428571,0.2142857142857142,14,63
xHctBv4C2EU8rHYRouw0btT3GT02,682.1635392829353,0.5789473684210527,0.855072463768116,0.2761250953470633,19,69
xyAILKfYP2M8GqAai11x6NT7IcP2,1000.9440976932856,0.6363636363636364,0.8955223880597015,0.25915875169606517,11,67
y1EHXv8tUTa4BRS4fRio7bULYfA2,546.2224815565478,0.5454545454545454,0.8378378378378378,0.2923832923832924,22,74
yatBVTBMCSMp0wJluOCLzTFKMyP2,1160.523076923317,0.42857142857142855,0.8769230769230769,0.44835164835164837,21,65
yfjd8LbAMrYeG54927d3GiKAyXI2,1382.5277777777974,0.5,0.8888888888888888,0.38888888888888884,14,63
zw1w9FipI9RjJsuhHse6UZavBxs2,435.37087912085167,0.875,0.8571428571428571,-0.017857142857142905,16,91
zxG9mUnF7uRkaOKSoCPsiRZzr372,921.5584166757267,0.5625,0.88,0.3175,16,75
