participant_id,wcst_hmm_lapse_occupancy,wcst_hmm_trans_to_lapse,wcst_hmm_trans_to_focus,wcst_hmm_stay_lapse,wcst_hmm_stay_focus,wcst_hmm_lapse_rt_mean,wcst_hmm_focus_rt_mean,wcst_hmm_rt_diff,wcst_hmm_state_changes,wcst_hmm_n_trials,wcst_hmm_lapse_dwell_mean,wcst_hmm_focus_dwell_mean,wcst_hmm_long_lapse_episode_rate,wcst_hmm_lapse_rt_sd,wcst_hmm_focus_rt_sd,wcst_hmm_state_entropy,wcst_slow_prob_baseline,wcst_slow_prob_shift_k0,wcst_slow_prob_shift_k0_delta,wcst_slow_prob_shift_k1,wcst_slow_prob_shift_k1_delta,wcst_slow_prob_shift_k2,wcst_slow_prob_shift_k2_delta,wcst_slow_prob_shift_k3,wcst_slow_prob_shift_k3_delta,wcst_slow_prob_shift_k4,wcst_slow_prob_shift_k4_delta,wcst_slow_prob_shift_k5,wcst_slow_prob_shift_k5_delta,wcst_slow_prob_post_error,wcst_slow_prob_post_error_delta,wcst_slow_prob_stable,wcst_slow_prob_stable_delta,wcst_hmm2d_lapse_occupancy,wcst_hmm2d_trans_to_lapse,wcst_hmm2d_trans_to_focus,wcst_hmm2d_stay_lapse,wcst_hmm2d_stay_focus,wcst_hmm2d_lapse_dwell_mean,wcst_hmm2d_focus_dwell_mean,wcst_hmm2d_state_entropy
cEIs6U87xfbSL5eFTXDK77MmvNf1,7.766990291262135,0.055934820827907794,0.6696338443881606,0.33036615561183946,0.9440651791720922,4526.028761062776,1260.6876196511503,3265.3411414116254,9,103,1.6,19.0,0.0,2495.8912399598,374.3083652631214,0.27304125002099433,0.0892158580983029,0.00507375542559353,-0.08414210267270937,0.030008377312952982,-0.05920748078534992,0.00431845758144366,-0.08489740051685925,0.008103326757944547,-0.08111253134035835,0.205996469181213,0.1167806110829101,0.11803844943721682,0.02882259133891392,0.3699456317423572,0.28072977364405427,0.01977767269754732,-0.06943818540075558,15.53398058252427,0.10465116279069572,0.6250000000000048,0.3749999999999952,0.8953488372093042,1.6,8.7,0.4318607758142447
cUugYJoOmOSFc0Mh5JD0ZXJrYN52,25.210084033613445,0.22986961713416987,0.5898416266595018,0.4101583733404982,0.7701303828658301,2597.7601449080958,922.2136191509464,1675.5465257571493,39,119,1.5,4.45,0.0,1525.9322601689007,239.44900512409524,0.5646314060861083,0.28925250985109613,0.3698981336110603,0.08064562375996415,0.721261152168281,0.4320086423171849,0.2501491002846368,-0.0391034095664593,0.46471475417135083,0.1754622443202547,0.2012603279173212,-0.08799218193377492,0.40116827051032633,0.1119157606592302,0.5341293021085188,0.2448767922574227,0.13809122745515198,-0.15116128239594415,15.966386554621847,0.14141426997495582,0.7894704446902929,0.21052955530970704,0.8585857300250442,1.2666666666666666,6.666666666666667,0.43911207123781926
cec6NLR2ZLVVw6h0TEKSNIH11v02,4.6875,0.057079266380053645,0.9999997555194788,2.444805212410774e-07,0.9429207336199463,3458.365674029065,1424.3809505887355,2033.9847234403294,11,128,1.0,20.333333333333332,0.0,1410.1755061180804,407.97965006151287,0.18920898053816695,0.06174489717104446,0.007449865611358743,-0.05429503155968572,1.5223559007013237e-05,-0.06172967361203745,0.9978511692600598,0.9361062720890153,6.417536416995087e-11,-0.0617448971068691,0.9999999999877218,0.9382551028166773,3.1416317220571376e-08,-0.06174486575472724,0.058494621407554084,-0.003250275763490379,0.01900483804574962,-0.04274005912529484,40.625,0.33333333333333104,0.5000000000000019,0.4999999999999981,0.666666666666669,2.0,2.923076923076923,0.6754645824509031
cfoKz0AGhvYmW0DJmVKAZ01jh752,19.480519480519483,0.11788965651032761,0.40858113056652673,0.5914188694334732,0.8821103434896724,1396.5848018179652,872.261274124132,524.3235276938332,9,77,3.0,12.4,0.2,381.4046345925923,185.16827297504747,0.4931160077065562,0.24789899583521405,0.2937887176170852,0.045889721781871146,0.46094270441911317,0.21304370858389912,0.34865019467947383,0.10075119884425979,0.06442161343244365,-0.1834773824027704,0.0529900177726519,-0.19490897806256213,0.0440806496896996,-0.20381834614551445,0.5634999107486137,0.3156009149133997,0.22205458831814134,-0.025844407517072704,14.285714285714285,0.12307692307692189,0.8181818181818105,0.1818181818181895,0.876923076923078,1.2222222222222223,7.333333333333333,0.410116318288409
d9rwc0NXArcNlJvFsgKhQqkGxJq2,26.136363636363637,0.31822146967306675,0.816953441664194,0.18304655833580596,0.6817785303269333,2934.0719532444523,1167.195972667632,1766.8759805768202,39,88,1.15,3.25,0.0,1294.5014453282388,286.961052038494,0.574478410960174,0.2872669432769124,0.05884916857936371,-0.22841777469754868,0.43748623561014044,0.15021929233322806,0.4412758521377029,0.1540089088607905,0.39183726009959663,0.10457031682268425,0.22973399893839522,-0.05753294433851716,0.39254553679481974,0.10527859351790736,0.6914777071953587,0.40421076391844635,0.1809045607276284,-0.10636238254928398,13.636363636363635,0.10666666666666758,0.6666666666666682,0.3333333333333318,0.8933333333333324,1.5,8.444444444444445,0.39830711380528416
dnkEqKuvjoQzAQm5yXlrAOp9ZlD3,28.767123287671232,0.1670780079810071,0.42443105616369103,0.5755689438363089,0.832921992018993,5495.394277400314,1546.4428900605037,3948.951387339811,17,73,2.3333333333333335,5.777777777777778,0.1111111111111111,3569.3912641982333,251.89341827215017,0.6000533513069376,0.3025395139261602,0.29461806857605455,-0.007921445350105638,0.8060065336569753,0.5034670197308151,0.5873924792679418,0.2848529653417816,0.551471428764889,0.24893191483872878,0.40736818524109736,0.10482867131493717,0.21138116314951186,-0.09115835077664833,0.9999929668061406,0.6974534528799804,0.1485627565730427,-0.1539767573531175,15.068493150684931,0.09836065573770505,0.6363636363636365,0.3636363636363635,0.901639344262295,1.5714285714285714,8.857142857142858,0.4238953332911617
e7NIVznoeNMC7bBejXnMVvFNPfx1,18.421052631578945,0.13913303714247352,0.6128923811887956,0.3871076188112043,0.8608669628575265,5575.255197609809,1156.9445244362446,4418.310673173564,17,76,1.5555555555555556,6.888888888888889,0.0,4688.069769622808,369.5529332567233,0.47771841282041927,0.2010227465281781,0.02151524559365406,-0.17950750093452403,0.6091697616083931,0.408147015080215,0.6951635203119222,0.4941407737837441,0.11903481705509467,-0.08198792947308342,0.28649175941594135,0.08546901288776326,0.017934973695494023,-0.18308777283268407,0.7331103003923476,0.5320875538641695,0.0677117479559468,-0.13331099857223128,19.736842105263158,0.08333333333333509,0.4000000000000064,0.5999999999999936,0.916666666666665,2.5,10.166666666666666,0.4967325675086318
fEL2NrgSd4MmDtLCAcMvCJQXTME2,3.7037037037037033,0.040502759042736515,0.9999999999998885,1.114704103509248e-13,0.9594972409572635,3791.1372947837417,1677.5693167071524,2113.5679780765895,5,81,1.0,26.0,0.0,1332.3195971279565,492.6253549533158,0.15841057013179086,0.04894472016442136,0.06285828014642536,0.013913559982003998,0.010394341810396368,-0.03855037835402499,0.13805390287548933,0.08910918271106796,0.016311935501125523,-0.03263278466329584,0.01317399241389546,-0.0357707277505259,0.005097900460738395,-0.04384681970368297,0.017515871513950815,-0.03142884865047055,0.017171834840252184,-0.03177288532416918,14.814814814814813,0.11764705882352988,0.7499999999999941,0.25000000000000583,0.8823529411764701,1.3333333333333333,7.666666666666667,0.4194833693061807
fEq0OghbLpfD1jigl1Mbz96aMbg2,1.1363636363636365,0.011627906976743386,1.0,0.0,0.9883720930232566,9295.39999999106,1305.5666666659472,7989.833333325112,2,88,1.0,43.5,0.0,0.0,567.8339741700535,0.06217765171742484,0.011363636363636364,0.0,-0.011363636363636364,0.0,-0.011363636363636364,0.0,-0.011363636363636364,0.0,-0.011363636363636364,0.0,-0.011363636363636364,0.0,-0.011363636363636364,0.047619047619047616,0.03625541125541125,0.0,-0.011363636363636364,23.863636363636363,0.1666666666666649,0.5238095238095248,0.4761904761904752,0.833333333333335,1.9090909090909092,5.583333333333333,0.5495029884397222
foaW7wtvY3XLNdguFUK7OvOefP93,7.792207792207792,0.08195593493828487,0.9999480711989782,5.192880102184208e-05,0.9180440650617152,3538.594832560195,1149.6310461688968,2388.963786391298,11,77,1.0,11.833333333333334,0.0,1262.610521895094,339.2938772683016,0.27366479736924587,0.0870880561950848,0.003545111164077213,-0.08354294503100759,0.42870791001812175,0.34161985382303695,0.0021306759124658844,-0.08495738028261893,0.20796836285258496,0.12088030665750016,0.006499122528898303,-0.0805889336661865,0.005976506890438967,-0.08111154930464584,0.46304133915229606,0.37595328295721125,0.03423033776922777,-0.052857718425857035,88.31168831168831,0.8888888888888885,0.11940298507462598,0.880597014925374,0.11111111111111144,7.555555555555555,1.125,0.36066847187964196
