participant_id,congruent_mu,congruent_sigma,congruent_tau,congruent_n,incongruent_mu,incongruent_sigma,incongruent_tau,incongruent_n
5rXSa3anB5ejmFrnwUsTB82byup1,588.4753872639914,75.23918227677295,254.36465622687265,36.0,893.9288314309899,280.07481957954224,97.18243181728418,36.0
5zxa5CMLGQSSonWOXqXf0QNS3PH3,488.4958623063164,59.36092786816215,86.98224391397498,36.0,429.74557202338013,5.0,275.40004375902134,36.0
62fAfeQc27bZelkPX7G54T3gvci2,771.0257048756888,140.81466233813418,196.84892779920702,36.0,738.1626406954341,182.83855922373556,419.46888328303214,35.0
6ABZuv4jbjgE0B8TeyUk6nwVb122,800.6920869112042,20.477080246350596,208.2025339536952,36.0,887.154911427436,167.2231078241504,236.04745588684122,36.0
6OwhwWQDThSPHTVAeXugohrYuje2,624.4897901679757,5.0,292.0324668614824,36.0,1140.625359587488,310.0513956303979,99.90223060043682,36.0
6WFCyGwk71XLPBmbe4Vav3eotVm1,572.3182843301363,79.9297628737785,113.35146678986861,36.0,551.405161817404,77.62299636072208,164.74790154150958,36.0
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,928.5273185020993,186.88585617642414,105.9946462292686,36.0,992.4240769777467,145.98214337120157,187.73523338106335,36.0
87w5Le0CgZhSfYAaOH3Xd2fc98l1,910.057002805002,238.88330656347168,461.3673683635034,35.0,964.1625782665043,89.8633965681928,497.35577198406196,36.0
8bwaafIhKVMNBoHaXFcY8HirS9u2,512.1596242731694,72.3335163564199,150.65398976090242,36.0,468.55523482354016,59.93336258229904,224.97091063283858,36.0
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,658.5479972642039,144.05216812558308,349.39943832690795,36.0,833.8319172642201,194.35912196351185,491.9261008576337,36.0
8mscvscxtXf7EbbLqCyy4a4pl2q2,799.4940969896572,268.9679818739357,239.43085754425323,36.0,1079.382488305884,341.14455558946577,5.0,36.0
9Xz1RIwnPXgyRqmucudW9VeuDnq1,675.1202175254299,115.03633193023842,416.07005253601284,36.0,884.2702176863387,153.33235552887444,435.0387043497734,34.0
9l7DjYLs0XdgwykPZR5E01KTZfu2,620.8137659780958,120.53980978094404,115.59646802759104,36.0,524.8324413902851,22.579900812173005,355.58808319784305,36.0
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,604.5689652696087,54.065003066890185,229.04583672011077,36.0,497.4863927630676,43.957229478664246,463.32439285032956,36.0
ASGvwW80q7VY7xFaLGZhVuErUQu2,773.1803506002351,106.06821932925016,5.0,36.0,920.6229215489938,200.54036481546802,5.0,36.0
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,858.4255569151209,245.292348930956,74.87200337414095,36.0,728.2137608243244,186.45596697326616,289.63641538160516,36.0
AsXBOflrszVNKoFqbN61bMJqS0k2,505.2824782456713,88.37499081881528,220.218842570857,36.0,603.1951544145038,136.15053857524555,244.2199871969336,36.0
AyAnuCaltBbpEYbudoyNzTvXlcC2,665.7946806306761,48.17518916232245,288.8911393851627,36.0,734.2398095225858,98.32173142667534,412.36560358924345,36.0
BbwUTWswjtPWhb5DvLAmh9Hdpyl2,586.7720458203215,108.89835106461572,173.25083501614466,36.0,670.9915931598938,180.39309428108203,253.6389314501187,36.0
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,682.8440998320808,78.58971334824268,152.94497802408537,36.0,1158.4682038546443,210.58414490436206,5.712061763672719,36.0
C4HWhqUIJ3Rl6SboyJGqlrXFAJJ2,789.2496786082164,212.0245535422942,103.66569039953276,36.0,756.830598918068,212.65001483039632,151.2864273145479,36.0
CDEoAyvS8feXLKMKsaZah9agEhF3,659.7401999704805,75.01573649527516,85.87872143962504,36.0,645.2038580056267,134.01886926054422,294.4968103692534,36.0
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,611.1662433967509,114.56791721557535,292.13557416828894,36.0,741.9002469684742,149.6711058304084,548.21905026353,36.0
CN1ySCsiSLN4m9yh9fS4s5p6T8k1,757.7801840955412,137.11244576626217,161.90070955543527,36.0,672.5432982334804,199.4916687778942,329.50029024889193,36.0
CUNlBEszJVRGK1jWlTaOaCqpDg53,716.7306863024545,185.46485657492593,28.591535919912662,36.0,611.3598682538681,119.15633405430093,232.86840296592257,36.0
Cbkx2NHyF3NrebzXGqNgSfiWent1,641.805507312243,79.72144643478109,122.78386102232076,36.0,720.2833508656116,29.351784491425384,249.81118098539608,36.0
Co587hoelyeANqFX7AYvuVQW0lZ2,420.7842783555611,106.05868730626493,221.07657751063536,36.0,482.8458459094061,115.86024403710077,186.17835868075898,36.0
CtJe4bZZnYUBNrcPk00d3YQFSGp2,656.0843001430078,152.88688888428075,85.66525756247196,36.0,803.3373154001782,208.3127851860432,46.33824869680846,36.0
DAKDKPH698P12JfTbbjemLI6PIH2,536.7656424071475,40.90751513898548,62.42033217517879,36.0,504.31827185479307,5.0,160.4269818311721,36.0
DPvStUYSmohmXwFwaKRqHv89R3k1,644.7549940196951,30.600365621629553,269.9387188746136,36.0,758.4451857417067,95.98737888236599,373.11773356592767,36.0
