participant_id,n_pe_runs,max_pe_run,mean_pe_run,pe_after_pe_prob
Yco8O7tmHlbsUBfKW2ywcZByGO32,3,1,1.0,0.0
xHctBv4C2EU8rHYRouw0btT3GT02,9,2,1.2222222222222223,0.18181818181818182
SOhR7IO689NQCPQu56SjATO8FR92,13,3,1.3076923076923077,0.23529411764705882
idP8RVfm74N86O0dszLXANIpjXv2,5,1,1.0,0.0
mweMgSlGM2VxThhwnupYxYzUbR23,4,2,1.5,0.3333333333333333
9Xz1RIwnPXgyRqmucudW9VeuDnq1,5,2,1.6,0.375
ohl9pXqpeSMfepC3w9h0tW5SbJw1,6,2,1.1666666666666667,0.14285714285714285
9l7DjYLs0XdgwykPZR5E01KTZfu2,7,1,1.0,0.0
23AEyocWhqY955WHbxhHRSgQ1ms2,7,2,1.1428571428571428,0.125
qZZiI6GzgxOrpQDGu42ZA0xsGEJ2,7,3,1.7142857142857142,0.4166666666666667
rFV2EUbp64f5ORSh7DqwmCQmeqT2,7,4,1.5714285714285714,0.36363636363636365
bXpFswkI7TfIfL6G4FqWrbaxTGx2,5,3,1.4,0.2857142857142857
XehZHBpwr5MYzUXkj0FAYCsFG922,14,4,1.6428571428571428,0.391304347826087
DAKDKPH698P12JfTbbjemLI6PIH2,6,2,1.1666666666666667,0.14285714285714285
3WijiOiVCoMbn80F05SPYsxl0TC2,8,2,1.125,0.1111111111111111
Df83JuPuJkXqTGbENhM2gw5SJM43,7,2,1.1428571428571428,0.125
qnR5PLX1v3fPi6SwTJMwGcadwyD3,9,2,1.3333333333333333,0.25
DaRehVxIOhXtEtUExdgvUl0mKcx2,24,3,1.5833333333333333,0.3684210526315789
UbwuSMtBsHdW3Ji41opk3GInMqi2,5,2,1.2,0.16666666666666666
cC0BEsQjfrcuCyoaOas9zJT0MNs2,15,6,2.066666666666667,0.5161290322580645
Cbkx2NHyF3NrebzXGqNgSfiWent1,5,1,1.0,0.0
Z3GikGkUkjMOa6UK1xdIDvuGRHp2,8,1,1.0,0.0
146QT9LupyU2BAiTsB3PMIpVXM22,7,1,1.0,0.0
tB4wPBbnWJUXeOC3Zxjph0Esgjf1,15,4,1.8,0.4444444444444444
87w5Le0CgZhSfYAaOH3Xd2fc98l1,10,4,1.4,0.2857142857142857
HbydnnT1hUP3WagAy2TJAc6GqVs2,2,1,1.0,0.0
EoToosG69XMp4LTYdB6sB9WTrv22,1,1,1.0,0.0
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,6,2,1.1666666666666667,0.14285714285714285
QbOEVCaZLUMOgltUdXm58oZOALv2,9,3,1.3333333333333333,0.25
PkpTH7pWpEOG9A86xSloOSozwTk2,24,4,1.7083333333333333,0.425
8bwaafIhKVMNBoHaXFcY8HirS9u2,6,2,1.1666666666666667,0.14285714285714285
tv88wS5Nf6SjruozSmXJxQSmx6J3,7,4,1.7142857142857142,0.4166666666666667
SPCT9D90pRa1ihXS5jEw6vCmquI3,7,3,1.4285714285714286,0.3
3xCaqfcHxRQxuOlEzXz3PNcHODH2,2,2,1.5,0.3333333333333333
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,5,1,1.0,0.0
5rXSa3anB5ejmFrnwUsTB82byup1,7,1,1.0,0.0
btpcu1rB1JeSTo2upeHGPdv8kYG3,5,2,1.4,0.2857142857142857
zw1w9FipI9RjJsuhHse6UZavBxs2,7,2,1.1428571428571428,0.125
IaTJhUGICmO9xcL3605RW8QHneN2,11,2,1.1818181818181819,0.15384615384615385
kI0YdycDU0X5hcoEPjEON3Ionyd2,7,3,1.4285714285714286,0.3
YEU5ox3jteVINfdSTg5ymqYcS9o2,2,1,1.0,0.0
GEwkBw3YHaNp3TCh9YS9PKVfavz1,5,3,1.4,0.2857142857142857
EEodWwGh0wWq5f8JmzfKvq0lyeu1,6,4,1.8333333333333333,0.45454545454545453
c0hRe9PCPPZs3HWFqhIQargNlp52,8,2,1.25,0.2
biQ16yPcCKSkJQhSxUKcDc8gm8I2,17,3,1.2352941176470589,0.2
OExlWyngGfPrScDYjaRcv5PIAet1,3,1,1.0,0.0
Rmd4rr2vGjOoLvdfYd4EdYyxK3m1,5,2,1.2,0.16666666666666666
k8j7IpYfd8dYB0L1qyLCcrwoFOy1,5,2,1.4,0.2857142857142857
VwTymW8T68MfpnJvZ2X97ILqDWS2,6,2,1.6666666666666667,0.4
hrRr560eFBNwJ0CcUjCqtSD8TdP2,6,2,1.3333333333333333,0.25
G9VruXninjUdE9czK2DambZl5li2,9,3,1.3333333333333333,0.25
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,8,1,1.0,0.0
zxG9mUnF7uRkaOKSoCPsiRZzr372,7,2,1.1428571428571428,0.125
CUNlBEszJVRGK1jWlTaOaCqpDg53,6,3,1.8333333333333333,0.45454545454545453
06qcrpGKL6Vc3LVplFQC90VAcRm1,6,2,1.5,0.3333333333333333
Jp6aXC9KLjcFZBaQdZl4i9dUscl1,0,0,0.0,
g2G9l3no7RbeRA9a1W3JnfegTnh2,12,3,1.4166666666666667,0.29411764705882354
G1Ff3XYUZMRsPafyEQ80ussnVlf1,17,5,1.7058823529411764,0.41379310344827586
WnC6Uscb5VMIr43GASKiUCO3AYH2,5,1,1.0,0.0
e7NIVznoeNMC7bBejXnMVvFNPfx1,5,3,1.8,0.4444444444444444
kgSRatooJJfDaMZ2yIURqb8aJuE3,2,1,1.0,0.0
afdTz6deeYWf1qKNdUpKAYKN3hz1,12,4,1.75,0.42857142857142855
sqfXvh6GJLaYAqr3RvHrixP8IOx1,5,1,1.0,0.0
rNe3cRPepZUXbJhmmfQZiGsVzX22,10,1,1.0,0.0
o4jXmZcjtMVF2ZInToRpVHUhpdV2,2,2,1.5,0.3333333333333333
UK6MLdHbCaS4xIz2f3vGdpkbBzG3,0,0,0.0,
cfoKz0AGhvYmW0DJmVKAZ01jh752,7,2,1.1428571428571428,0.125
PXesLO51qlY7lJBrLdOAZiHmUR72,0,0,0.0,
KtKj6zUKc5Oogd2itg2jdwkchnf2,1,1,1.0,0.0
C4HWhqUIJ3Rl6SboyJGqlrXFAJJ2,9,2,1.2222222222222223,0.18181818181818182
50R0P1MIMvRvK1qpqfGROchII6R2,22,4,1.7272727272727273,0.43243243243243246
