participant_id,first_rule,n_trials,accuracy,learning_slope,trials_to_criterion,pe_rate
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,colour,12,0.9166666666666666,0.03146853146853147,2,0.0
LliUMEIsrCVZ88YFQfevan2Og4z1,colour,10,1.0,0.0,0,0.0
M4Km1Q2P2oPliChDQkwl6k20FUI3,colour,20,0.85,0.018796992481203006,1,0.0
MMSYeiMQi3gMr4PrXQcpXzFiegj2,colour,17,0.8235294117647058,0.034313725490196074,7,0.0
O61Eik2zvrSQLMNpFbTNEgjWwMr2,colour,15,0.7333333333333333,0.06428571428571428,5,0.0
OExlWyngGfPrScDYjaRcv5PIAet1,colour,11,0.9090909090909091,0.045454545454545456,1,0.0
ORuVuFPU5idz3fMoXTGsbwToW2j2,colour,10,1.0,0.0,0,0.0
ORvIk1xRWIQmKuLVe6GXNouvAXx2,colour,10,1.0,0.0,0,0.0
P9bS6GGJcIXivbMWo4ibJ5jgUPG2,colour,10,1.0,0.0,0,0.0
PLreonkqaMeFc0UqxKUelH44UQu1,colour,12,0.8333333333333334,0.06993006993006992,2,0.0
PkpTH7pWpEOG9A86xSloOSozwTk2,colour,20,0.8,0.02105263157894737,10,0.0
QG6VXg7od2fHJ1SF9ZzYBqUa1FY2,colour,11,0.9090909090909091,0.045454545454545456,1,0.0
QbOEVCaZLUMOgltUdXm58oZOALv2,colour,23,0.6956521739130435,0.02371541501976285,13,0.0
Qg9GDwQ9hBNkDLt50CNLd4NqRlX2,colour,10,1.0,0.0,0,0.0
QreA2rLiUhV3YHeMfuHMPdGbpJ53,colour,21,0.5714285714285714,0.05324675324675325,11,0.0
Qv0jhW3sqicqQvd7LfReAsI7nD73,colour,15,0.6666666666666666,0.08928571428571426,5,0.0
Rc706mP0TSeIoIpMYH1SpRXjOxA2,colour,10,1.0,0.0,0,0.0
Rmd4rr2vGjOoLvdfYd4EdYyxK3m1,colour,13,0.8461538461538461,0.05494505494505495,3,0.0
Ru3Qf6pXZua1DfNkQdhbor6iJ403,colour,10,1.0,0.0,0,0.0
SOhR7IO689NQCPQu56SjATO8FR92,colour,14,0.7857142857142857,0.06373626373626373,4,0.0
SPCT9D90pRa1ihXS5jEw6vCmquI3,colour,65,0.676923076923077,0.00882867132867133,34,0.0
SdDjNMBD2ZMTEwUphkohi2cZwUx1,colour,13,0.8461538461538461,0.05494505494505495,3,0.0
SpSfX0ZcfcPLdlOENlfdfvEPwru2,colour,11,0.9090909090909091,0.045454545454545456,1,0.0
ToTCRJ4EX9OL6UlJqmDkaEbggWF2,colour,14,0.7857142857142857,0.06813186813186813,4,0.0
Ub7nV8F55kPruh35ZpUcKoBUyn63,colour,15,0.8,0.04999999999999999,5,0.0
UbwuSMtBsHdW3Ji41opk3GInMqi2,colour,14,0.8571428571428571,0.04395604395604395,4,0.0
VwTymW8T68MfpnJvZ2X97ILqDWS2,colour,18,0.8333333333333334,0.031991744066047476,8,0.0
WKzqsLX1lNVSdbGgYTTVGtFwsrF3,colour,10,1.0,0.0,0,0.0
WbOfW9KmUkPQK8o5hlHJnJFdpp92,colour,27,0.7407407407407407,0.02930402930402931,10,0.0
WcTsIpSoEhYeIBSNjAbbdaNSBya2,colour,14,0.8571428571428571,0.03516483516483516,4,0.0
WeHQDy9BWldTlaQDVVlsJNCqwxA2,colour,25,0.68,0.023076923076923075,4,0.0
Wfo71fsX1VVfPZnzhT7HEYBTwnq1,colour,13,0.7692307692307693,0.08241758241758243,3,0.0
