participant_id,task,n_trials,n_cascades,cascade_rate,mean_cascade_length,max_cascade_length,total_cascade_trials,cascade_proportion,total_errors,error_rate
uM3kxG78g5ZtXtbAEzZyM4XFmaI3,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
v8nNKiWvPdcjiHXZci39OuFTY6M2,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
wdppvL4tIkVlGjou6aYzzjlaZXB2,stroop,108,0,0.0,0.0,0,0,0.0,4,3.7037037037037033
wkhxvE50megJGMA1EiROSZIJWNq1,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
xBGZhFOeypWnqzSQClkrwV9z2vF3,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
xHctBv4C2EU8rHYRouw0btT3GT02,stroop,107,0,0.0,0.0,0,0,0.0,3,2.803738317757009
xyAILKfYP2M8GqAai11x6NT7IcP2,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
y1EHXv8tUTa4BRS4fRio7bULYfA2,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
yatBVTBMCSMp0wJluOCLzTFKMyP2,stroop,108,0,0.0,0.0,0,0,0.0,0,0.0
yfjd8LbAMrYeG54927d3GiKAyXI2,stroop,108,0,0.0,0.0,0,0,0.0,1,0.9259259259259258
zw1w9FipI9RjJsuhHse6UZavBxs2,stroop,108,0,0.0,0.0,0,0,0.0,2,1.8518518518518516
zxG9mUnF7uRkaOKSoCPsiRZzr372,stroop,108,0,0.0,0.0,0,0,0.0,1,0.9259259259259258
