participant_id,task,n_trials,mean_rt,rmssd,cv,iiv,mssd,adj_volatility
DaRehVxIOhXtEtUExdgvUl0mKcx2,stroop,108,1244.5259259293477,573.6698106017542,32.842411788849894,408.73232941271345,329097.05159585254,389.241130564008
Df83JuPuJkXqTGbENhM2gw5SJM43,stroop,108,1097.955555555553,508.34304720815754,35.26685794103027,387.21442603342655,258412.6536448751,387.2135232329041
DzB19GqCB7fyrlEPexogWkjFzEx2,stroop,106,1243.2245282969384,540.4498627948681,33.10751691459289,411.6007709922766,292086.05419499177,411.4052222538374
EEodWwGh0wWq5f8JmzfKvq0lyeu1,stroop,108,728.3425925925934,347.0328029958266,35.97210292982935,262.0001470891953,120431.7663551402,255.20675539891303
EUhcW9kURScie1DwGPHqmNqotJB2,stroop,108,1137.662037041452,434.92531735257245,27.064137140619763,307.898413901667,189160.03167423586,307.2494319140882
EmfmKFDgWJdW47a6CNTNjnbYaPh2,stroop,108,903.009259265882,317.5839192968814,26.116377047208594,235.83330292108312,100859.54579596808,235.0541704955735
EoToosG69XMp4LTYdB6sB9WTrv22,stroop,108,727.3324074127056,207.21718324800764,21.24907046442085,154.55137576169435,42938.96103323838,153.82270680304615
Fz7EUjZCLuUBxLDUVtN6djaBTy42,stroop,108,983.6287037012754,310.35358414870103,23.069457083625363,226.91780166258619,96319.34719394484,226.90553238552752
G1Ff3XYUZMRsPafyEQ80ussnVlf1,stroop,108,975.4916666646799,336.0428653928251,25.86588887929172,252.3195905262369,112924.80738142038,251.7402565621022
G9VruXninjUdE9czK2DambZl5li2,stroop,108,763.5833333333312,348.22764871147234,35.750657747893804,272.98606411995837,121262.49532712059,271.9034275662486
GDZGRW51kbWtAdUIHCtEd8sAtqY2,stroop,108,957.7870370502825,308.1843332722389,24.155263936991215,231.35598675378355,94977.58327445442,227.19324598271345
GE4hogtdLdTFbNasENgtm6SO3hC3,stroop,107,1209.6457943933033,518.039243886541,33.661749136340305,407.1879327469646,268364.6582065391,396.3739174855823
GEwkBw3YHaNp3TCh9YS9PKVfavz1,stroop,108,718.6425925940275,309.63718261375857,30.32989816817604,217.96356652690875,95875.18485698606,216.84231674736682
HSggdq91WiQp16bOj7V3dABkcgk2,stroop,108,719.6083333271521,304.43403257751754,30.672348404351307,220.72077514484977,92680.08019140901,211.12781900518542
HbydnnT1hUP3WagAy2TJAc6GqVs2,stroop,108,955.1694444440029,305.72824794409604,22.920310142255893,218.92779905062807,93469.76159096666,215.49467670715333
HyQM2xKwwuVfqidmRYF6TiRk90C2,stroop,108,650.8694444456034,276.0823779952375,31.14174729056171,202.69211758073277,76221.47943950519,198.87607602139386
IaTJhUGICmO9xcL3605RW8QHneN2,stroop,108,739.4203703709775,373.44465566002395,40.107319003136205,296.56168671885916,139460.91084103388,281.7146955928244
JntnHLHjYhc0xJJQALM3h9R5Ozv1,stroop,108,784.2833333291389,312.1720025239563,34.21586903797688,268.3493582185779,97451.35915981696,268.34039860206457
Jp6aXC9KLjcFZBaQdZl4i9dUscl1,stroop,108,738.6203703698185,308.51378678500174,30.017615000276216,221.71621909122638,95180.7566364215,221.03822193583784
K26uNuY0VNPjJNF26wEx3bFg0kr2,stroop,108,759.0027777777717,265.8220786101458,27.64056012541985,209.7926191452718,70661.37747661855,193.26682376531065
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,stroop,108,735.6574074074128,231.72972090649887,23.109990517607475,170.0103570939301,53698.66355140386,162.07126878769583
LSLmd8jENtONZFVkIpRDX665Bu73,stroop,108,970.1472222231052,366.04892732488634,31.268536518718932,303.35083846616897,133991.81719569993,298.86622375023813
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,stroop,108,701.2546296274221,194.23615768652948,20.926197975090417,146.7459321053214,37727.68495282635,140.64414633049356
LliUMEIsrCVZ88YFQfevan2Og4z1,stroop,108,581.8999999999824,270.41607297526747,35.383410322184425,205.89606466478492,73124.85252336517,189.85194250507226
M4Km1Q2P2oPliChDQkwl6k20FUI3,stroop,108,740.9194444727015,210.5465182794051,23.200179813387724,171.89464339002015,44329.83635957986,171.8778003377987
MMSYeiMQi3gMr4PrXQcpXzFiegj2,stroop,108,1085.9185185366207,508.4174419198145,31.881396549116854,346.20598909495504,258488.29524828793,345.8839120952318
O61Eik2zvrSQLMNpFbTNEgjWwMr2,stroop,108,823.9101851855715,324.9493264590909,31.76646795555894,261.7271649595609,105592.06476621683,260.72016121204643
OExlWyngGfPrScDYjaRcv5PIAet1,stroop,108,755.9194444428991,309.99447147016076,30.796842411272547,232.7993200612466,96096.57234206432,221.16370906886686
ORuVuFPU5idz3fMoXTGsbwToW2j2,stroop,108,790.3518518650973,379.2864226435023,35.35256803709507,279.4096761630493,143858.19040170545,279.37460085343423
ORvIk1xRWIQmKuLVe6GXNouvAXx2,stroop,108,972.7296296324995,482.9827886323538,37.55795818158963,365.3373875173059,233272.3741150849,364.69400121783053
P9bS6GGJcIXivbMWo4ibJ5jgUPG2,stroop,108,946.1148148134903,574.7448168406032,43.826202749065786,414.64619697910854,330331.60448513855,412.3804742156144
PLreonkqaMeFc0UqxKUelH44UQu1,stroop,108,644.5259259265882,288.5774434026878,32.89193119269061,211.99702407482545,83276.94084083148,207.17308161783998
PkpTH7pWpEOG9A86xSloOSozwTk2,stroop,106,1378.1226415049355,500.51187303566206,24.87385834426014,342.79227365811363,250512.13504966671,338.0635438814723
QG6VXg7od2fHJ1SF9ZzYBqUa1FY2,stroop,108,728.9574074074626,344.356321923565,36.16609118488366,263.63540066194685,118581.27644872594,263.36754424463345
QbOEVCaZLUMOgltUdXm58oZOALv2,stroop,108,1074.1935185199534,396.0654380451026,27.789801826462725,298.5162500294022,156867.831213859,298.3969294773277
Qg9GDwQ9hBNkDLt50CNLd4NqRlX2,stroop,108,1182.3842592592594,286.5411809949168,19.054958300532267,225.3028275539092,82105.84840596166,224.62952194553299
QreA2rLiUhV3YHeMfuHMPdGbpJ53,stroop,108,1086.3203703827328,443.80478606919564,31.21662522987258,339.11255881814145,196962.68813792453,338.803220202498
Qv0jhW3sqicqQvd7LfReAsI7nD73,stroop,108,662.2351851841366,241.4953351824606,27.976655784896277,185.27125824543631,58319.99691488899,172.76517487077948
Rc706mP0TSeIoIpMYH1SpRXjOxA2,stroop,108,976.3685185114542,422.51075380456916,28.568790267562033,278.9366742920399,178515.33708050524,275.27328813046074
Rmd4rr2vGjOoLvdfYd4EdYyxK3m1,stroop,108,934.600000001766,311.3619282595537,24.84388699478694,232.1909678537175,96946.25036950746,226.79995759861944
Ru3Qf6pXZua1DfNkQdhbor6iJ403,stroop,108,1019.9231481481402,468.10448639906826,36.31336694379662,370.3684353317566,219121.81018693547,341.5991761903397
SOhR7IO689NQCPQu56SjATO8FR92,stroop,108,970.4601851852128,418.8094244626906,32.79874363815273,318.2987482492402,175401.3340187701,315.80791243511874
SPCT9D90pRa1ihXS5jEw6vCmquI3,stroop,108,684.434259262074,275.5960386928882,31.717142324431368,217.0829881273196,75953.17654321193,216.83786957650435
SdDjNMBD2ZMTEwUphkohi2cZwUx1,stroop,108,716.2564816828127,265.76344018534184,25.960764756894672,185.94566026568538,70630.20613914776,184.89855364991212
SpSfX0ZcfcPLdlOENlfdfvEPwru2,stroop,108,853.6296296296242,247.9788203196132,26.36536976418148,225.06260826846326,61493.495327107004,188.8468760605925
ToTCRJ4EX9OL6UlJqmDkaEbggWF2,stroop,108,903.2407407401888,329.3545152681667,28.874417550265726,260.8055029654352,108474.39672752908,238.6094880835111
Ub7nV8F55kPruh35ZpUcKoBUyn63,stroop,108,1038.64259259182,477.7204561323453,33.21535541738449,344.98882864570976,228216.83420729605,342.2864430323713
UbwuSMtBsHdW3Ji41opk3GInMqi2,stroop,108,750.651851851838,245.4206128185453,24.015209416644836,180.27061421214145,60231.27719623032,178.9945987602475
VwTymW8T68MfpnJvZ2X97ILqDWS2,stroop,108,971.4675925931444,427.48861951720744,34.870296138154075,338.75362642342566,182746.51981672776,337.1293497436483
WKzqsLX1lNVSdbGgYTTVGtFwsrF3,stroop,108,1005.870370370365,463.9392987204127,32.364967986951086,325.549623360595,215239.6728971883,322.69000411575024
WbOfW9KmUkPQK8o5hlHJnJFdpp92,stroop,106,1175.771698112617,556.7450294420627,37.70851415675579,443.36603723392415,309965.02780844324,436.5869456373633
WcTsIpSoEhYeIBSNjAbbdaNSBya2,stroop,108,1054.2305555561627,359.3102018058653,24.97057360834054,263.247416876769,129103.82112177166,261.21383834428707
WeHQDy9BWldTlaQDVVlsJNCqwxA2,stroop,108,906.0925925925904,415.2075936136164,34.08969251678657,308.88417873219373,172397.34579441,302.63060884694886
Wfo71fsX1VVfPZnzhT7HEYBTwnq1,stroop,108,773.630555541427,264.6508154498139,24.50908135190216,189.609742220821,70040.05411825144,187.37675685004655
WnC6Uscb5VMIr43GASKiUCO3AYH2,stroop,108,652.9092592591488,231.09241384818662,27.903777608858604,182.18634769131896,53403.70373818155,173.7837087271242
WqoZv41KTtTCuPKBPyClregrKAi1,stroop,108,923.8055555555652,422.7496331594436,33.397796699772655,308.53070134565303,178717.25233644413,308.39140162682304
XehZHBpwr5MYzUXkj0FAYCsFG922,stroop,108,710.7944444444169,292.6577743665343,28.60759180934372,203.3411732701512,85648.57289717329,200.2137579831452
YEU5ox3jteVINfdSTg5ymqYcS9o2,stroop,108,619.6064814831371,183.47284120023778,24.459530047537807,151.5528335148597,33662.283458087666,148.00353616255873
Yco8O7tmHlbsUBfKW2ywcZByGO32,stroop,108,938.5444444426232,425.8941914830936,32.30552771303181,303.201735598532,181385.86233903802,302.84443545450785
Z3GikGkUkjMOa6UK1xdIDvuGRHp2,stroop,108,788.6361111203829,278.33228463870046,25.027462932838695,197.37561038563442,77468.86067219859,193.86374155557738
aM2995jJmJWvr6cneaGH58HauIg2,stroop,104,1028.8115384590167,607.5696755787379,42.02689469439823,432.3775418719893,369140.9106828528,427.6590748106583
afdTz6deeYWf1qKNdUpKAYKN3hz1,stroop,108,953.9787037049731,460.4351143046555,37.699972123291715,359.6497053589145,212000.49448474118,358.1974772278232
aj2Ivskb3BgyvBNTLIKlSZG0Sq22,stroop,108,812.7287036997301,309.2740196916491,28.51178422030599,231.7234542953571,95650.41925623055,223.824298140712
azdL1gX79EVd9iepyCAVQrqIaQF3,stroop,108,743.4101851851964,252.46652429151575,25.782819757643978,191.67210810626648,63739.34588783852,191.64729652909338
bXpFswkI7TfIfL6G4FqWrbaxTGx2,stroop,108,679.5648148148181,352.87322973228265,40.50501607519828,275.2578374821335,124519.51626169235,268.5078693402152
biQ16yPcCKSkJQhSxUKcDc8gm8I2,stroop,108,1120.443518517194,345.2503631744778,21.133653173445353,236.7906472077717,119197.81327210883,236.7241084810168
btpcu1rB1JeSTo2upeHGPdv8kYG3,stroop,108,988.93796295921,477.95890753666185,36.65432994682762,362.4885839125048,228444.71729363926,352.3957980030394
c0hRe9PCPPZs3HWFqhIQargNlp52,stroop,108,949.8203703650722,435.8197905049053,32.293829883140226,306.7333746011089,189938.88979573955,305.78979200269515
cC0BEsQjfrcuCyoaOas9zJT0MNs2,stroop,108,989.3472222133919,383.2866346419179,27.022761842496873,267.3489436540832,146908.64429512704,266.5666865388599
cEIs6U87xfbSL5eFTXDK77MmvNf1,stroop,108,881.7888888782925,429.8308553535794,37.14919814350449,327.57750153680354,184754.56421398968,322.1907920535209
cUugYJoOmOSFc0Mh5JD0ZXJrYN52,stroop,108,697.0787037035657,279.12416759347224,36.223632467455246,252.50722763848097,77910.30093474878,229.59205200109184
cec6NLR2ZLVVw6h0TEKSNIH11v02,stroop,108,855.2833333333429,308.46303857712945,26.132830810745183,223.50974645250426,95149.44616823565,223.44116131627652
d9rwc0NXArcNlJvFsgKhQqkGxJq2,stroop,108,847.4314814822542,353.0922031560463,28.50318275914163,241.5449439253884,124674.10392959067,238.8831481503085
dnkEqKuvjoQzAQm5yXlrAOp9ZlD3,stroop,108,811.6148148134903,322.62462548339687,31.201158351015373,253.23322357025728,104086.64896830209,237.1563675531122
e7NIVznoeNMC7bBejXnMVvFNPfx1,stroop,108,894.534259258045,426.44373471476183,36.890053702090704,329.9941686238921,181854.25887747415,323.4464709987707
fEq0OghbLpfD1jigl1Mbz96aMbg2,stroop,108,681.1453703713638,362.9012635732198,43.17161930296318,294.0614861964837,131697.32710303957,288.44719680983303
foaW7wtvY3XLNdguFUK7OvOefP93,stroop,108,846.6481481481444,338.40049974002073,29.971880906766245,253.75637466230367,114514.89822429579,253.75210498229245
g2G9l3no7RbeRA9a1W3JnfegTnh2,stroop,105,1121.0819047723498,585.4956206625235,45.51984615093045,510.3147582782943,342805.12181499356,491.10230739013525
h12a1QYNpYbl3T0Gj1PxUz3EnEx2,stroop,108,890.4166666666672,322.72937941322664,28.07061181949006,249.94540607604287,104154.2523364464,241.2035039281619
h5RYP03wJuVN0xo7qAR8CKFxLaj1,stroop,108,1024.617592594138,492.3852208404842,31.85260019008617,326.36734524629674,242443.2057021324,325.8917346440229
hrRr560eFBNwJ0CcUjCqtSD8TdP2,stroop,108,678.9685185183944,173.39348692651006,24.128195629443233,163.8228524104507,30065.301308533813,158.1276702691294
i1tBstVkNiVP0qro7TgGD08IGGa2,stroop,107,1186.5299065358172,475.6533211032403,27.915933228858307,331.2308964489736,226246.0818765422,329.3492020157308
iKVZi0Oo96UrMBhPQMHWFcf55uA3,stroop,106,1235.2547169811398,520.3441992703348,33.94740866259994,419.3369667976299,270758.08571428584,408.34604694462604
iWsc4pghIEWOQUZKuQJMfe516UI3,stroop,108,642.1046296258768,281.62849510279585,32.13573329557701,206.34503125512433,79314.60925386552,204.60971440633014
iZScIvzhvAdvlsBXU5D8IHwvG6Q2,stroop,107,1395.9719626179365,577.1011313009415,32.163229416713776,448.98966492980884,333045.7157488265,441.2924941531485
idP8RVfm74N86O0dszLXANIpjXv2,stroop,108,934.9722222222222,403.2843798488107,29.713639560824213,277.8142761049395,162638.29103003987,277.7880287226408
iv9ew8Ci8lOzvXFiJw1acJfuRAl2,stroop,107,1019.3644859812997,522.0823057356505,43.28420730720495,441.2238373281699,272569.9339622533,435.46371837214264
jpklrtZKDdb3UbsoQ7Ho5KuR5yb2,stroop,107,1111.371962618605,431.5993310230234,28.192706928232553,313.32584030360954,186277.98253952133,309.6365895353203
jzdk8E3tVXTXIozlfK5oeEb7wWp2,stroop,108,892.0296296278635,336.5666868112208,33.02253251057499,294.5707744478229,113277.1346710824,256.3630975844114
k8j7IpYfd8dYB0L1qyLCcrwoFOy1,stroop,108,815.4759259047331,301.93581455306827,31.75926044647252,258.98912318636746,91165.23610982484,249.18615896725197
kI0YdycDU0X5hcoEPjEON3Ionyd2,stroop,108,893.575925928575,439.51875923907545,38.52553752443126,344.2549286528972,193176.73972305638,332.71585524662146
kR2rCtaPyPaj7YMizKUDn5xL2qx1,stroop,108,876.6499999999845,390.85177210424735,31.964896976574575,280.22026934513605,152765.1077570305,273.96177931230886
kgSRatooJJfDaMZ2yIURqb8aJuE3,stroop,108,967.1305555556384,618.893241136473,45.912245861898306,444.03135847224763,383028.84392440843,443.1338645191098
kxerHPSL3bQjD74HhiebYf3blPr1,stroop,108,750.3518518518475,277.73026987300017,25.902417072228133,194.35926617585292,77134.10280372949,194.35564073720454
lHDkoPQu5reNCO45npeYSS9eLQl1,stroop,108,777.203703686043,282.6157589122986,27.302683220864417,212.19746519822604,79871.66718557448,212.1863888032843
lpzDdvuMkKWkPxu6xeclmdctEp42,stroop,108,837.7361111243566,260.15746974267915,24.353581614727606,204.01874753871536,67681.90906291302,203.66691412616552
m69r9GQTk2b51mvxrFLt4fZeJi52,stroop,108,758.9814814814794,305.9192978914905,30.313999585981012,230.0776431539682,93586.6168224225,228.38360662058335
mUZzgdWKnPb2txOkJg9FHgqX5792,stroop,108,1091.7611111082413,506.88349516486664,36.3103839355103,396.42265110199565,256930.87767055136,387.9136631567878
