participant_id,n_errors,n_trials,mean_rt_lag_1,mean_acc_lag_1,mean_rt_lag_2,mean_acc_lag_2,mean_rt_lag_3,mean_acc_lag_3,mean_rt_lag_4,mean_acc_lag_4,mean_rt_lag_5,mean_acc_lag_5
ASGvwW80q7VY7xFaLGZhVuErUQu2,9,78,1644.6444443596733,0.7777777777777778,1687.4000002543132,0.8888888888888888,1402.6777776082356,1.0,1407.4555555979412,1.0,1621.9222221374512,1.0
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,17,85,1853.8882354568032,0.5882352941176471,1675.1941177424262,0.6470588235294118,1767.141176588395,0.7647058823529411,1493.4647059440613,0.9411764705882353,1398.5294117927551,0.9411764705882353
AsXBOflrszVNKoFqbN61bMJqS0k2,20,103,1394.1700000047683,0.6,1226.919999974966,0.75,1459.1549999773501,0.8,1377.9499999821187,0.8,1420.449999988079,0.8
AyAnuCaltBbpEYbudoyNzTvXlcC2,12,85,1723.8416666835546,0.6666666666666666,1657.5333333462477,0.8333333333333334,1427.2083333383005,0.9166666666666666,1513.2750000059605,0.9166666666666666,1466.191666657726,1.0
BbwUTWswjtPWhb5DvLAmh9Hdpyl2,40,72,1784.9179487179797,0.38461538461538464,1820.230769230781,0.41025641025641024,1813.9589743589959,0.41025641025641024,1816.8282051281883,0.358974358974359,1905.256410256458,0.46153846153846156
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,9,76,1481.0333333015442,0.8888888888888888,1144.8999999894036,1.0,1292.5444444815319,0.7777777777777778,1174.9444444444443,1.0,1298.3888888094161,1.0
CDEoAyvS8feXLKMKsaZah9agEhF3,6,62,2037.3833333333023,1.0,1302.3499999999378,0.8333333333333334,1362.5333333333645,1.0,1166.4166666665114,1.0,1052.416666666589,1.0
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,19,88,1745.989473656604,0.5263157894736842,1446.8631578746595,0.7368421052631579,1391.65263155887,0.7894736842105263,1363.7315789523877,0.8421052631578947,1335.9368420902051,0.8947368421052632
CUNlBEszJVRGK1jWlTaOaCqpDg53,12,74,1789.641666666915,0.5,1675.866666666853,0.8333333333333334,1498.6499999999069,1.0,1396.2250000000931,0.9166666666666666,1377.866666667008,1.0
Cbkx2NHyF3NrebzXGqNgSfiWent1,7,69,1533.3714285684484,1.0,999.7857142857143,0.8571428571428571,1002.328571426017,1.0,878.0285714268684,1.0,1204.6571428562913,1.0
Co587hoelyeANqFX7AYvuVQW0lZ2,13,79,1371.3384615320426,0.46153846153846156,1144.8384615320426,0.6923076923076923,982.223076916658,0.7692307692307693,1109.7153846117167,0.8461538461538461,1002.1538461492612,0.9230769230769231
