participant_id,task,n_trials,n_bursts,burst_rate,mean_burst_length,resilience_index,max_inter_burst_streak,post_burst_rt_lag1,post_burst_rt_lag2,post_burst_rt_lag3,post_burst_rt_lag4,post_burst_rt_lag5,recovery_slope,baseline_rt,rt_elevation_lag1
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,wcst,72,2,2.7777777777777777,3.0,55.0,55,1873.75,1503.1000000238419,1480.3999999761581,1601.8999999761581,1498.3500000238419,,1583.7983606643363,289.9516393356637
80UJMJbCOMgs6YVpsMgXfYTzw6o2,wcst,68,2,2.941176470588235,2.0,22.0,22,1957.2999999998137,1119.0999999986961,1131.25,1028.8499999996275,1255.699999999255,,1204.3783333332278,752.9216666665859
87w5Le0CgZhSfYAaOH3Xd2fc98l1,wcst,105,5,4.761904761904762,3.6,13.25,39,1855.439999999851,1958.2200000002981,1902.480000000447,1564.3800000004471,2046.679999999702,23.52000000029807,1477.8207792206729,377.619220779178
8bwaafIhKVMNBoHaXFcY8HirS9u2,wcst,77,2,2.5974025974025974,2.0,44.0,44,2065.7999999523163,1349.3499999046326,1450.6000000238419,1397.7999999523163,1266.5499999523165,,1063.0318840552068,1002.7681158971095
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,wcst,82,5,6.097560975609756,3.0,10.5,30,1710.299999809265,1308.659999847412,1536.739999961853,1610.5199998855592,1451.5200000762939,-86.77999992370599,1338.8904761511183,371.4095236581468
8mscvscxtXf7EbbLqCyy4a4pl2q2,wcst,68,2,2.941176470588235,2.0,23.0,23,1659.600000023842,1591.25,1522.3999999761581,1170.6000000238419,1257.5499999523163,,1536.2084745734426,123.39152545039951
9Xz1RIwnPXgyRqmucudW9VeuDnq1,wcst,68,3,4.411764705882353,2.0,20.0,30,1234.6666666666667,1111.3333333333333,1635.6666666667443,1423.3333333332557,1065.3333333333333,200.50000000003874,1264.0847457627078,-29.418079096041083
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,wcst,76,3,3.9473684210526314,2.6666666666666665,27.0,44,2129.9333333174386,1024.3666666348774,923.5999999841055,1044.800000031789,1140.300000031789,-603.1666666666665,1213.3887096874175,916.5446236300211
ASGvwW80q7VY7xFaLGZhVuErUQu2,wcst,78,2,2.564102564102564,2.0,18.0,18,1674.25,1736.3000001907349,1405.149998664856,1609.5,1742.0500001907349,,1399.228985440904,275.0210145590961
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,wcst,85,4,4.705882352941177,2.75,14.333333333333334,22,1218.7500002384186,1654.075000166893,1491.4250001907349,1524.6749999523163,1182.4750000238419,136.33749997615814,1355.535294133074,-136.78529389465552
AsXBOflrszVNKoFqbN61bMJqS0k2,wcst,103,5,4.854368932038835,2.6,17.75,50,1432.8600000143051,1435.579999923706,1513.9599999666214,1319.8999999761581,1557.660000038147,40.54999997615812,1257.8987951752651,174.96120483903997
AyAnuCaltBbpEYbudoyNzTvXlcC2,wcst,85,2,2.3529411764705883,3.0,29.0,29,1658.050000011921,1621.699999988079,1102.550000011921,1916.9000000059605,1619.8499999940395,,1429.8684931528078,228.18150685911314
BbwUTWswjtPWhb5DvLAmh9Hdpyl2,wcst,72,8,11.11111111111111,4.0,4.142857142857143,11,1923.8625000001048,1855.4249999999884,2085.8625000000466,2064.774999999965,2033.5375000001513,80.9999999999709,1724.8218750000378,199.04062500006694
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,wcst,88,6,6.8181818181818175,2.5,12.2,20,1613.333333293597,1305.9333333174388,1455.9999999602635,1170.166666706403,1313.5166666905086,-78.66666666666674,1324.3231883878293,289.0101449057677
