outcome,n,model0_r2,model1_r2,model2_r2,model3_r2,delta_r2_dass,p_dass,delta_r2_ucla,p_ucla_wald,delta_r2_interaction,p_interaction_wald
WCST Pre-Switch RT Delta (w3),210,0.00035096021912228714,0.01255137163080855,0.04522096049363067,0.04522150390273294,0.012200411411686263,0.47327093969436096,0.03266958886282212,0.00904922594331706,5.434091022715748e-07,0.9914555909311666
WCST Pre-Switch RT Delta (w4),210,0.000621149201801785,0.008951569146532945,0.05282916816793326,0.05303577972992157,0.00833041994473116,0.6343218869729335,0.043877599021400315,0.002459997720714055,0.00020661156198831243,0.8339294820046621
WCST Pre-Switch RT Delta (w5),210,0.0007522375710492524,0.009127408599536757,0.06103865538259612,0.061044034684007875,0.008375171028487505,0.632225645024664,0.05191124678305936,0.000963194720916976,5.379301411756465e-06,0.9728959363429487
"WCST Pre-Switch RT Mean (w1, correct)",210,0.05001766140359365,0.05872979448233395,0.060723878173169155,0.06636218911698122,0.008712133078740303,0.5968121542405389,0.001994083690835202,0.5122572791024257,0.005638310943812064,0.27069541322173857
"WCST Pre-Switch RT Mean (w2, correct)",210,0.07435727196562059,0.09263684087746016,0.09382174489544626,0.1023940093465181,0.018279568911839572,0.253076508395767,0.0011849040179860992,0.6069680952107588,0.008572264451071843,0.16638319313420524
"WCST Pre-Switch RT Mean (w3, correct)",210,0.0791325318519307,0.09225772623681183,0.0942126640801263,0.0973934070179121,0.013125194384881134,0.4016451887159813,0.0019549378433144637,0.508777206499289,0.0031807429377858076,0.3998321782464638
"WCST Pre-Switch RT Mean (w4, correct)",210,0.07437099682553194,0.09211946740347354,0.09297271753017289,0.09712358166042767,0.0177484705779416,0.26590031329180397,0.0008532501266993453,0.6625797877162889,0.004150864130254783,0.33636089174294304
"WCST Pre-Switch RT Mean (w5, correct)",210,0.07389112870380943,0.09004883166780953,0.09090171461112984,0.09521479850979542,0.016157702964000098,0.3081040695195384,0.00085288294332031,0.6630084433863757,0.004313083898665582,0.3276241066981781
"WCST Pre-Switch RT Delta (w1, correct)",210,0.004410092010678879,0.008448661899907561,0.026494063287371583,0.027708450516620298,0.0040385698892286825,0.8419840042310078,0.018045401387464022,0.05378682739808336,0.0012143872292487146,0.6160094343648422
"WCST Pre-Switch RT Delta (w2, correct)",210,0.003629187975874304,0.012156695334524792,0.04181613614072244,0.04492654480356484,0.008527507358650488,0.6241723038274904,0.029659440806197646,0.012970353667380008,0.003110408662842401,0.4182718525544278
"WCST Pre-Switch RT Delta (w3, correct)",210,0.001947539252395658,0.01085847997117595,0.04256688283433829,0.04256762637364775,0.008910940718780291,0.6075576654579693,0.031708402863162344,0.010210325384403534,7.435393094556986e-07,0.9900192136966579
"WCST Pre-Switch RT Delta (w4, correct)",210,0.0007348022707375224,0.006079569069741275,0.04861762784998269,0.048851964911346024,0.005344766799003753,0.7778617027688879,0.04253805878024142,0.002918584168899302,0.0002343370613633322,0.8236940813607231
"WCST Pre-Switch RT Delta (w5, correct)",210,0.00021045997588431398,0.005831172872742485,0.056162996643998264,0.0561717647635519,0.005620712896858171,0.7643180556568216,0.05033182377125578,0.0011804226803035188,8.7681195536371e-06,0.965489717188429
WCST Switch Cost RT Mean (k1-k5),210,0.008431892638569138,0.012720785059125661,0.013201260373698176,0.01651012594668999,0.004288892420556523,0.8286964132308029,0.0004804753145725149,0.7535474275052894,0.003308865572991815,0.4106929599123741
WCST Switch Cost RT Slope (k1-k5),209,0.0060613032157137425,0.01608811828356438,0.01725510736400171,0.017428721797844826,0.010026815067850636,0.5593709019622553,0.0011669890804373306,0.6248309183013437,0.0001736144338431167,0.8507096979347732
WCST Switch Cost Error Mean (k1-k5),210,0.02903051567077053,0.0652582876166018,0.06529450371361556,0.06611950878702,0.036227771945831266,0.050875872701440505,3.6216097013763715e-05,0.9294178561282987,0.000825005073404439,0.673157935107445
WCST Switch Cost Error Slope (k1-k5),209,0.021806380193814867,0.03459404820506573,0.036774651366109135,0.03895122824871322,0.012787668011250863,0.44400919617290613,0.002180603161043404,0.4996626058005852,0.0021765768826040865,0.5006401048106013
WCST Switch Cost RT SD (k1),207,0.01047634823408683,0.012123272518083539,0.012123811551152497,0.020841321858867334,0.001646924283996709,0.9531907060392825,5.390330689580836e-07,0.9916754512516068,0.008717510307714837,0.18469362905030576
WCST Switch Cost Error SD (k1),207,0.007252958060727899,0.009517075152691068,0.010064927488779074,0.010064933910395868,0.0022641170919631692,0.9275710155990752,0.0005478523360880061,0.7397146445018332,6.421616793872431e-09,0.9990946015283261
WCST Switch Cost RT Early,207,0.006424371262902184,0.010570780178143613,0.011027584084268405,0.01261900183073672,0.0041464089152414285,0.8392388765405282,0.00045680390612479194,0.7614896065272463,0.0015914177464683155,0.5718016779641766
WCST Switch Cost RT Late,207,0.010564709564255703,0.014087286576033198,0.01503107433738049,0.017433423879585908,0.0035225770117774946,0.8688078195517889,0.0009437877613472923,0.6620291328134631,0.0024023495422054175,0.4862845631775867
WCST Switch Cost RT Early-Late,207,0.00655100178068746,0.009106879301007953,0.00923611243744249,0.015274626340378572,0.002555877520320493,0.9146821780965906,0.0001292331364345367,0.8718496736437061,0.006038513902936082,0.270634870671895
WCST Switch Cost Error Early,207,0.0045758853629793705,0.030281808432790713,0.04265943095795899,0.04378705185454268,0.025705923069811343,0.15293835590531898,0.012377622525168275,0.10940100301269039,0.001127620896583692,0.6286136670631152
WCST Switch Cost Error Late,207,0.049480088318889726,0.061145298913500734,0.0700291367094984,0.0784610588441087,0.011665210594611009,0.4774310717146203,0.008883837795997662,0.16844247315645458,0.008431922134610303,0.17874940427366706
WCST Switch Cost Error Early-Late,207,0.017892877747275104,0.02491075171408541,0.0250443560370468,0.027058262859702698,0.007017873966810306,0.6950155073195389,0.00013360432296138924,0.8686772294735509,0.0020139068226558976,0.5217386667643518
WCST Switch Cost RT k1 (to colour),197,0.0005899615490240206,0.006030163929245491,0.00789059533673453,0.007933880438439123,0.0054402023802214705,0.7903036306139553,0.0018604314074890382,0.5512826652551068,4.328510170459321e-05,0.9277403742048353
WCST Switch Cost RT k1 (to shape),210,0.010282053103321975,0.011445255429421541,0.01166330661144499,0.011670749722230367,0.001163202326099566,0.9708030432140897,0.00021805118202344875,0.8326089505466319,7.443110785376739e-06,0.9689262243253923
WCST Switch Cost RT k1 (to number),207,0.0035579332872975877,0.008384627896319663,0.010582608291802686,0.010699309840853322,0.004826694609022075,0.8064741306097067,0.0021979803954830235,0.5058234866019513,0.00011670154905063512,0.8783841428173143
WCST Switch Cost Error k1 (to colour),203,0.0038601526263847274,0.009277571985834565,0.01301669651096149,0.0188895917564339,0.005417419359449838,0.782626473025508,0.0037391245251269245,0.38990343591245,0.005872895245472409,0.28129860254413425
WCST Switch Cost Error k1 (to shape),210,0.015629865196396087,0.0244133374436718,0.02745101416647122,0.028030652976772763,0.008783472247275714,0.6077979815413932,0.0030376767227994206,0.4268024526079849,0.0005796388103015415,0.7288934208334348
WCST Switch Cost Error k1 (to number),207,0.03249240511070328,0.06443293720061871,0.08154299174182977,0.09050429701086571,0.03194053208991543,0.07979987546633373,0.01711005454121106,0.05499150887801561,0.008961305269035935,0.162989611026197
