participantId,pe_rate_half1,pe_rate_half2,n_trials_half1,n_trials_half2
LSLmd8jENtONZFVkIpRDX665Bu73,9.75609756097561,12.195121951219512,41,41
mUZzgdWKnPb2txOkJg9FHgqX5792,20.754716981132077,9.25925925925926,53,54
WbOfW9KmUkPQK8o5hlHJnJFdpp92,8.16326530612245,4.081632653061225,49,49
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,5.555555555555555,11.11111111111111,36,36
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,9.75609756097561,7.317073170731707,41,41
fEq0OghbLpfD1jigl1Mbz96aMbg2,34.090909090909086,9.090909090909092,44,44
QG6VXg7od2fHJ1SF9ZzYBqUa1FY2,8.108108108108109,8.108108108108109,37,37
cEIs6U87xfbSL5eFTXDK77MmvNf1,11.76470588235294,9.615384615384617,51,52
AsXBOflrszVNKoFqbN61bMJqS0k2,21.153846153846153,15.09433962264151,52,53
Fz7EUjZCLuUBxLDUVtN6djaBTy42,11.904761904761903,11.904761904761903,42,42
DzB19GqCB7fyrlEPexogWkjFzEx2,7.6923076923076925,12.5,39,40
WKzqsLX1lNVSdbGgYTTVGtFwsrF3,6.8181818181818175,6.8181818181818175,44,44
xBGZhFOeypWnqzSQClkrwV9z2vF3,12.82051282051282,7.6923076923076925,39,39
MMSYeiMQi3gMr4PrXQcpXzFiegj2,18.181818181818183,21.818181818181817,55,55
tPxs1KmmX0ZKjHS9Nr63xoOPCRr2,5.88235294117647,8.571428571428571,34,35
y1EHXv8tUTa4BRS4fRio7bULYfA2,12.0,19.607843137254903,50,51
HyQM2xKwwuVfqidmRYF6TiRk90C2,12.195121951219512,4.761904761904762,41,42
roaf78tUWxWSEjAUcUu8O7mrQbl1,12.82051282051282,10.256410256410255,39,39
Rc706mP0TSeIoIpMYH1SpRXjOxA2,3.3333333333333335,0.0,30,31
i1tBstVkNiVP0qro7TgGD08IGGa2,12.5,7.5,40,40
h12a1QYNpYbl3T0Gj1PxUz3EnEx2,5.555555555555555,5.555555555555555,36,36
iWsc4pghIEWOQUZKuQJMfe516UI3,5.0,10.0,40,40
lHDkoPQu5reNCO45npeYSS9eLQl1,9.25925925925926,20.0,54,55
WcTsIpSoEhYeIBSNjAbbdaNSBya2,14.893617021276595,12.76595744680851,47,47
mg2WZiRBn4NQDKiMK43Y8dBqyG53,7.936507936507936,11.11111111111111,63,63
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,10.638297872340425,10.638297872340425,47,47
CtJe4bZZnYUBNrcPk00d3YQFSGp2,12.5,15.0,40,40
CDEoAyvS8feXLKMKsaZah9agEhF3,8.823529411764707,8.823529411764707,34,34
GDZGRW51kbWtAdUIHCtEd8sAtqY2,7.317073170731707,16.666666666666664,41,42
QreA2rLiUhV3YHeMfuHMPdGbpJ53,8.51063829787234,14.583333333333334,47,48
AyAnuCaltBbpEYbudoyNzTvXlcC2,12.5,10.714285714285714,56,56
azdL1gX79EVd9iepyCAVQrqIaQF3,5.0,14.634146341463413,40,41
jzdk8E3tVXTXIozlfK5oeEb7wWp2,7.6923076923076925,12.82051282051282,39,39
pRQimOpZtsekBI2I1kbnD3pycmo1,7.894736842105263,12.82051282051282,38,39
HSggdq91WiQp16bOj7V3dABkcgk2,9.090909090909092,6.666666666666667,44,45
PLreonkqaMeFc0UqxKUelH44UQu1,18.75,12.5,48,48
ToTCRJ4EX9OL6UlJqmDkaEbggWF2,7.6923076923076925,12.82051282051282,39,39
SdDjNMBD2ZMTEwUphkohi2cZwUx1,7.142857142857142,7.142857142857142,42,42
