participant_id,post_error_rt_mean,post_error_trial_count,post_shift_error_rt_mean,post_shift_error_trial_count
DaRehVxIOhXtEtUExdgvUl0mKcx2,2091.287301588626,64,2068.462295083726,61
Df83JuPuJkXqTGbENhM2gw5SJM43,1945.3333333333333,12,1904.8624999999884,8
DxSidjznjVSNDJuDqqGgxpMEGtw1,2238.8333333333335,6,2238.8333333333335,6
DzB19GqCB7fyrlEPexogWkjFzEx2,2268.7923076886395,13,1964.2000000079472,6
EEodWwGh0wWq5f8JmzfKvq0lyeu1,2787.2142857142194,14,3269.1818181817757,11
EUhcW9kURScie1DwGPHqmNqotJB2,2288.1294117534862,51,2361.7547618888675,42
EmfmKFDgWJdW47a6CNTNjnbYaPh2,2971.6818182034926,11,3371.0714286225184,7
EoToosG69XMp4LTYdB6sB9WTrv22,3615.7999998728433,3,1970.7999997138977,1
Fz7EUjZCLuUBxLDUVtN6djaBTy42,1790.7615384780443,14,1826.6111111243565,9
G1Ff3XYUZMRsPafyEQ80ussnVlf1,1973.5142857063383,42,1948.695999994278,25
G9VruXninjUdE9czK2DambZl5li2,2214.478260869565,23,1918.8235294117785,17
GDZGRW51kbWtAdUIHCtEd8sAtqY2,2444.0333333412805,18,2324.6999999826603,11
GE4hogtdLdTFbNasENgtm6SO3hC3,2422.2428571454116,7,1820.2200000047683,5
GEwkBw3YHaNp3TCh9YS9PKVfavz1,2740.7727272727275,11,3051.99999998297,7
HSggdq91WiQp16bOj7V3dABkcgk2,2120.2307692124295,13,2249.6857142618724,7
HbydnnT1hUP3WagAy2TJAc6GqVs2,3136.7199999809263,5,2936.9000000158944,3
HyQM2xKwwuVfqidmRYF6TiRk90C2,2152.64999999851,10,2136.2285714234627,7
IaTJhUGICmO9xcL3605RW8QHneN2,1515.5049999982118,20,1573.0999999970197,10
JOBWLirr6KYf3GXJ3jPFKmd48S93,2460.8272727240214,11,1898.6499999985099,8
Jp6aXC9KLjcFZBaQdZl4i9dUscl1,,0,,0
JvrZiMHtAfP6gvQtlevYWafKy0z2,2259.9916667143502,12,2338.4300000190733,10
K26uNuY0VNPjJNF26wEx3bFg0kr2,1860.1428571427907,7,1860.1428571427907,7
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,3444.999999999989,24,3285.2999999999765,10
KtKj6zUKc5Oogd2itg2jdwkchnf2,2394.000000001242,3,2941.10000000149,2
LSLmd8jENtONZFVkIpRDX665Bu73,2494.2933333079022,15,2338.2599999666213,10
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,2418.7875000089407,8,2405.8285714387894,7
LliUMEIsrCVZ88YFQfevan2Og4z1,1632.5833333333076,18,1846.4727272727018,11
M4Km1Q2P2oPliChDQkwl6k20FUI3,2681.986666615804,18,2539.822222179837,9
O61Eik2zvrSQLMNpFbTNEgjWwMr2,2158.2909090905027,11,2024.428571427507,7
OExlWyngGfPrScDYjaRcv5PIAet1,3187.099999964237,4,2796.5666666428247,3
ORuVuFPU5idz3fMoXTGsbwToW2j2,1958.2882352997276,17,1926.5375000238419,16
ORvIk1xRWIQmKuLVe6GXNouvAXx2,4116.072727279229,24,4350.035714285715,14
P8mTl71XaYNvFMTCvlKpzzUdc9W2,2095.8363636406984,11,2095.8363636406984,11
P9bS6GGJcIXivbMWo4ibJ5jgUPG2,2506.3142857296125,7,2506.3142857296125,7
PLreonkqaMeFc0UqxKUelH44UQu1,1812.0904761921793,22,1553.231250002049,16
