metric,term,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
wcst_rt_cv,C(loneliness_group)[T.mid],-0.03177825062270685,0.1138279468438684,-0.27917793041014216,0.7809812495081495,-0.25904307917356956,0.19548657792815582
wcst_rt_cv,C(loneliness_group)[T.high],0.028488852586898566,0.11590716795537245,0.24579025688788791,0.8066073482473411,-0.2029272748543276,0.25990498002812473
wcst_rt_cv,C(gender_male)[T.1]:C(loneliness_group)[T.mid],0.03772518256592189,0.18226791718643537,0.20697653842905409,0.8366654286532992,-0.32618445560506143,0.4016348207369052
wcst_rt_cv,C(gender_male)[T.1]:C(loneliness_group)[T.high],0.18361266303980067,0.19725671164703218,0.9308310044646494,0.3553333764913217,-0.21022306883419972,0.5774483949138011
stroop_interference,Intercept,153.45464344230356,25.19742096567849,6.0900932540407515,6.466874184293293e-08,103.1463692928669,203.76291759174023
stroop_interference,C(gender_male)[T.1],-42.28479325764774,41.995701609464184,-1.0068838389907602,0.31766789202917545,-126.13191684004224,41.56233032474676
stroop_interference,C(loneliness_group)[T.mid],5.112141991257445,36.223574941346314,0.14112748395306352,0.8881991023048512,-67.21055886388716,77.43484284640205
stroop_interference,C(loneliness_group)[T.high],-6.203425643435082,36.88524743778081,-0.16818175488450265,0.8669546116458418,-79.84719826196016,67.44034697509
stroop_interference,C(gender_male)[T.1]:C(loneliness_group)[T.mid],6.13573569725056,58.0032912889318,0.10578254372991731,0.9160757415506979,-109.67157187235722,121.94304326685833
stroop_interference,C(gender_male)[T.1]:C(loneliness_group)[T.high],59.23624816260205,62.77318949476167,0.9436552235018301,0.34878753628666803,-66.0944684467901,184.5669647719942
prp_bottleneck,Intercept,640.7183838544227,33.62769814285848,19.053292947156187,1.5796720280131517e-28,573.5785182511227,707.8582494577226
prp_bottleneck,C(gender_male)[T.1],-178.8478052461523,56.04616357143083,-3.1910802425969935,0.0021706817831692983,-290.74758125165226,-66.9480292406523
prp_bottleneck,C(loneliness_group)[T.mid],56.87027224539855,48.34286197154885,1.176394402939328,0.24366294762817536,-39.64936587731866,153.38991036811575
prp_bottleneck,C(loneliness_group)[T.high],-41.59161188430663,49.22590960606027,-0.8449130187161891,0.4012118998665246,-139.87431149432933,56.69108772571609
prp_bottleneck,C(gender_male)[T.1]:C(loneliness_group)[T.mid],66.77627506595762,77.40939731146686,0.8626378370738959,0.391460378789132,-87.77657329865981,221.32912343057507
prp_bottleneck,C(gender_male)[T.1]:C(loneliness_group)[T.high],168.3229485524761,83.77515582525648,2.0092227450292635,0.04860616975539506,1.0604532395835804,335.58544386536863
prp_t1_slowing,Intercept,-21.440434526892002,59.77576124015751,-0.3586810787863002,0.7209960904851591,-140.82087330259995,97.94000424881594
prp_t1_slowing,C(gender_male)[T.1],-109.12838592730384,99.62626873359585,-1.0953776279538983,0.2773934010632529,-308.0957838868171,89.83901203220941
prp_t1_slowing,C(loneliness_group)[T.mid],70.5097945345575,85.93307108327572,0.8205198958411264,0.41491879893271144,-101.11039931039713,242.12998837951213
prp_t1_slowing,C(loneliness_group)[T.high],-11.698604970134546,89.27964162948865,-0.13103328773074455,0.8961536918058284,-190.00236171603913,166.60515177577005
prp_t1_slowing,C(gender_male)[T.1]:C(loneliness_group)[T.mid],40.93240371125919,137.60102257898416,0.29747165351015936,0.7670551082298781,-233.87581471473405,315.74062213725244
prp_t1_slowing,C(gender_male)[T.1]:C(loneliness_group)[T.high],61.278025142953396,149.96762007915626,0.4086083723313705,0.68417016608244,-238.22799394845933,360.7840442343661
