participant_id,mean_lapse_duration,max_lapse_duration,n_lapse_episodes,n_trials
aj2Ivskb3BgyvBNTLIKlSZG0Sq22,1.0,1,9,119
asKxydfXDkZAk89VaD4hwVovkzJ3,1.6,3,5,81
azdL1gX79EVd9iepyCAVQrqIaQF3,1.4285714285714286,2,7,81
bXpFswkI7TfIfL6G4FqWrbaxTGx2,3.375,7,8,90
biQ16yPcCKSkJQhSxUKcDc8gm8I2,1.0,1,11,128
btpcu1rB1JeSTo2upeHGPdv8kYG3,1.8,4,10,67
c0hRe9PCPPZs3HWFqhIQargNlp52,2.142857142857143,3,7,85
c8BtRUVPPPZHjyhX2rn702NoUld2,1.2,2,10,93
cC0BEsQjfrcuCyoaOas9zJT0MNs2,1.4615384615384615,3,13,120
cEIs6U87xfbSL5eFTXDK77MmvNf1,1.0,1,4,101
cUugYJoOmOSFc0Mh5JD0ZXJrYN52,1.7894736842105263,6,19,116
cec6NLR2ZLVVw6h0TEKSNIH11v02,1.2777777777777777,2,18,127
cfoKz0AGhvYmW0DJmVKAZ01jh752,3.0,6,5,77
d9rwc0NXArcNlJvFsgKhQqkGxJq2,4.0,11,10,86
dnkEqKuvjoQzAQm5yXlrAOp9ZlD3,1.6363636363636365,4,11,64
e7NIVznoeNMC7bBejXnMVvFNPfx1,1.625,3,8,72
fEL2NrgSd4MmDtLCAcMvCJQXTME2,1.0,1,17,80
fEq0OghbLpfD1jigl1Mbz96aMbg2,1.6363636363636365,4,11,87
foaW7wtvY3XLNdguFUK7OvOefP93,1.0,1,5,76
g2G9l3no7RbeRA9a1W3JnfegTnh2,2.142857142857143,7,14,99
h12a1QYNpYbl3T0Gj1PxUz3EnEx2,1.5,3,12,70
h52Mz0cZjnOsmXT02EgU3JzzRKs2,3.25,10,4,70
h5RYP03wJuVN0xo7qAR8CKFxLaj1,10.8,47,5,123
hOrA1ssI5vaeeeXRJhtjrGrqHQn1,2.0833333333333335,5,12,74
hrRr560eFBNwJ0CcUjCqtSD8TdP2,3.0,7,8,86
htPWXDgfuheOJbl6ihHore9XuDp2,1.5714285714285714,8,14,80
i1bdbtLuM9UR71xKs8yOhuCwJ9o1,1.0,1,6,72
i1tBstVkNiVP0qro7TgGD08IGGa2,1.7777777777777777,5,9,79
iKVZi0Oo96UrMBhPQMHWFcf55uA3,1.0,1,6,67
iWsc4pghIEWOQUZKuQJMfe516UI3,2.8333333333333335,9,6,79
iZScIvzhvAdvlsBXU5D8IHwvG6Q2,5.8,21,5,97
iZX3U88SSqYAtT564nBPgHUBsei1,1.0,1,2,104
idP8RVfm74N86O0dszLXANIpjXv2,1.0,1,4,73
iv9ew8Ci8lOzvXFiJw1acJfuRAl2,2.2857142857142856,5,7,75
jpklrtZKDdb3UbsoQ7Ho5KuR5yb2,1.6666666666666667,2,3,62
jzdk8E3tVXTXIozlfK5oeEb7wWp2,1.0,1,1,78
k8j7IpYfd8dYB0L1qyLCcrwoFOy1,1.25,2,16,97
kI0YdycDU0X5hcoEPjEON3Ionyd2,1.0,1,17,84
kR2rCtaPyPaj7YMizKUDn5xL2qx1,3.5,7,8,83
kgSRatooJJfDaMZ2yIURqb8aJuE3,2.625,6,8,66
kxerHPSL3bQjD74HhiebYf3blPr1,45.0,45,1,115
lHDkoPQu5reNCO45npeYSS9eLQl1,1.0,1,9,108
lpzDdvuMkKWkPxu6xeclmdctEp42,1.5,4,10,83
m69r9GQTk2b51mvxrFLt4fZeJi52,1.1428571428571428,2,7,81
mUZzgdWKnPb2txOkJg9FHgqX5792,2.5714285714285716,7,7,103
mYRMPGfR5gRSjnp7ojjD5sXo7Jr2,3.0,6,11,69
mg2WZiRBn4NQDKiMK43Y8dBqyG53,2.0,3,8,123
