participant_id,lapse_occupancy,trans_to_lapse,trans_to_focus,stay_lapse,stay_focus,lapse_rt_mean,focus_rt_mean,rt_diff,state_changes,n_trials
EoToosG69XMp4LTYdB6sB9WTrv22,17.741935483870968,0.2226526114215872,0.9005075918387112,0.09949240816128885,0.7773473885784128,2377.985912184514,1048.305221888351,1329.6806902961628,19,62
Fz7EUjZCLuUBxLDUVtN6djaBTy42,19.51219512195122,0.08895326236529717,0.38580761718628737,0.6141923828137126,0.9110467376347029,2280.6735017346614,1619.8274679528975,660.8460337817639,9,82
G1Ff3XYUZMRsPafyEQ80ussnVlf1,25.0,0.21345122724588936,0.5504075747263648,0.44959242527363513,0.7865487727541106,2450.070738402849,1363.660367918782,1086.4103704840672,37,128
G9VruXninjUdE9czK2DambZl5li2,10.309278350515463,0.087169042337617,0.6930016782105936,0.3069983217894064,0.9128309576623831,3302.1970748218587,1347.519308119056,1954.6777667028027,13,97
GDZGRW51kbWtAdUIHCtEd8sAtqY2,36.58536585365854,0.3342906604821308,0.5020455007643078,0.4979544992356922,0.6657093395178691,2251.597040959288,1507.5502625106196,744.0467784486682,33,82
GEwkBw3YHaNp3TCh9YS9PKVfavz1,24.0,0.18458603907122406,0.5297885446922093,0.4702114553077907,0.8154139609287759,2104.7041354372045,981.3844583912385,1123.319677045966,21,75
HSggdq91WiQp16bOj7V3dABkcgk2,11.235955056179774,0.09064074680854069,0.801335648129394,0.19866435187060597,0.9093592531914593,3249.585635092858,1112.6100072365882,2136.97562785627,15,89
HbydnnT1hUP3WagAy2TJAc6GqVs2,16.923076923076923,0.19226280201092014,0.7243872530350155,0.2756127469649845,0.80773719798908,2872.7960155963538,1450.5894868902615,1422.2065287060923,17,65
HyQM2xKwwuVfqidmRYF6TiRk90C2,25.301204819277107,0.14291532274888152,0.4446686615353012,0.5553313384646988,0.8570846772511185,2098.5590104538296,860.1399948017934,1238.4190156520363,17,83
IaTJhUGICmO9xcL3605RW8QHneN2,20.37037037037037,0.12862908268207612,0.4237821524351877,0.5762178475648123,0.8713709173179238,2077.870659147118,1003.5526039077774,1074.3180552393408,19,108
JOBWLirr6KYf3GXJ3jPFKmd48S93,12.32876712328767,0.07275132381362785,0.5663487476068725,0.4336512523931274,0.9272486761863722,3156.156013629107,1248.0029322862679,1908.153081342839,9,73
JntnHLHjYhc0xJJQALM3h9R5Ozv1,13.333333333333334,0.11021363603525292,0.7392754352628036,0.2607245647371964,0.8897863639647471,3760.297128872689,1928.5048098718325,1831.7923190008564,13,75
Jp6aXC9KLjcFZBaQdZl4i9dUscl1,8.333333333333332,0.12630325267702525,0.9999999392604536,6.073954648025085e-08,0.8736967473229748,2377.8788739560973,1147.685575644465,1230.1932983116324,10,60
JvrZiMHtAfP6gvQtlevYWafKy0z2,18.666666666666668,0.08168636721975701,0.3573886752511336,0.6426113247488663,0.918313632780243,2577.367601414439,1587.562518899714,989.805082514725,7,75
K26uNuY0VNPjJNF26wEx3bFg0kr2,2.857142857142857,0.014925373134326523,1.0,0.0,0.9850746268656735,3407.199999999954,1112.841176470599,2294.3588235293546,3,70
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,27.710843373493976,0.080398461059177,0.23341823591565608,0.766581764084344,0.9196015389408231,2895.131283058019,1237.2160629365135,1657.9152201215056,9,83
KtKj6zUKc5Oogd2itg2jdwkchnf2,40.909090909090914,0.09446471588967159,0.16422679758984593,0.8357732024101541,0.9055352841103285,1568.3311266599258,818.4190994799533,749.9120271799725,7,66
LSLmd8jENtONZFVkIpRDX665Bu73,10.975609756097562,0.1270936911014688,0.9993502498981633,0.0006497501018367503,0.8729063088985313,3545.8226352193446,1436.2553522604896,2109.567282958855,17,82
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,12.857142857142856,0.10367999247926489,0.6333663282429561,0.36663367175704387,0.8963200075207352,2369.942160581649,1116.5793385301904,1253.3628220514588,11,70
LliUMEIsrCVZ88YFQfevan2Og4z1,41.66666666666667,0.2390394061679464,0.30672870366983335,0.6932712963301666,0.7609605938320536,1487.3851716420468,811.0451947451487,676.3399768968981,19,96
M4Km1Q2P2oPliChDQkwl6k20FUI3,50.53763440860215,0.2749836075190462,0.23502327942772133,0.7649767205722787,0.7250163924809537,2003.3622858031147,1037.0603256061263,966.3019601969884,18,93
MMSYeiMQi3gMr4PrXQcpXzFiegj2,20.37037037037037,0.07379061400226436,0.3097792852393328,0.6902207147606673,0.9262093859977356,2204.4984491510722,1237.7998569800918,966.6985921709804,11,108
O61Eik2zvrSQLMNpFbTNEgjWwMr2,17.94871794871795,0.06897800648471607,0.3384602148407107,0.6615397851592892,0.9310219935152839,2486.876819087633,1344.9593231292652,1141.917495958368,8,78
OExlWyngGfPrScDYjaRcv5PIAet1,12.5,0.08921787739676561,0.722177868219887,0.27782213178011284,0.9107821226032344,2711.5066046745865,970.7896591113579,1740.7169455632286,11,64
ORuVuFPU5idz3fMoXTGsbwToW2j2,7.954545454545454,0.052250645853975,0.6396507616038368,0.3603492383961631,0.947749354146025,3035.969216352423,1491.3766653606392,1544.5925509917836,7,88
P8mTl71XaYNvFMTCvlKpzzUdc9W2,12.82051282051282,0.10464425043457357,0.7999387981343092,0.20006120186569074,0.8953557495654264,2264.824151929118,1067.4010179409051,1197.423133988213,15,78
P9bS6GGJcIXivbMWo4ibJ5jgUPG2,28.78787878787879,0.4273327068407069,0.9999728077662215,2.719223377838895e-05,0.572667293159293,1746.9500840213072,1138.0825731230686,608.8675108982386,37,66
PLreonkqaMeFc0UqxKUelH44UQu1,15.384615384615385,0.12027772938439805,0.5700594929522573,0.4299405070477427,0.8797222706156019,2357.5375589929076,915.7044658965405,1441.833093096367,17,91
PXesLO51qlY7lJBrLdOAZiHmUR72,35.95505617977528,0.3096684016553978,0.5588117240078838,0.44118827599211613,0.6903315983446023,4103.06200142133,1770.8698153483417,2332.192186072988,36,89
PkpTH7pWpEOG9A86xSloOSozwTk2,36.607142857142854,0.13087088576036554,0.24626144913418968,0.7537385508658103,0.8691291142396346,3577.163093751531,1945.8439843196368,1631.3191094318943,17,112
QG6VXg7od2fHJ1SF9ZzYBqUa1FY2,6.756756756756757,0.093634582124554,0.9999970805603396,2.9194396603258216e-06,0.9063654178754459,2593.7615005770062,994.711890919726,1599.0496096572801,10,74
QbOEVCaZLUMOgltUdXm58oZOALv2,34.69387755102041,0.1650889593940497,0.30500193476008797,0.6949980652399121,0.8349110406059502,2453.150105967703,1478.9158256477972,974.2342803199058,15,98
Qg9GDwQ9hBNkDLt50CNLd4NqRlX2,65.07936507936508,0.13222857439273406,0.08247144095889455,0.9175285590411054,0.8677714256072658,2290.6953627495195,1263.631850929279,1027.0635118202406,5,63
QreA2rLiUhV3YHeMfuHMPdGbpJ53,10.526315789473683,0.1263811017839996,0.9999999999999992,7.979985387225794e-16,0.8736188982160004,2532.9501075849125,1293.0933354523534,1239.8567721325592,19,95
Rc706mP0TSeIoIpMYH1SpRXjOxA2,11.864406779661017,0.1281964101200966,0.8428800315957983,0.15711996840420175,0.8718035898799034,2864.750003389574,1425.6194752965569,1439.1305280930171,12,59
Rmd4rr2vGjOoLvdfYd4EdYyxK3m1,45.94594594594595,0.10336446207904923,0.15189328405504623,0.8481067159449537,0.8966355379209506,2160.1243450531438,1103.394732549249,1056.7296125038947,7,74
Ru3Qf6pXZua1DfNkQdhbor6iJ403,13.580246913580247,0.14806966053909676,0.8350056457859685,0.16499435421403152,0.8519303394609032,3684.778703300594,1566.3938536200749,2118.384849680519,18,81
SOhR7IO689NQCPQu56SjATO8FR92,7.000000000000001,0.04423007583575397,0.7169428097001957,0.28305719029980425,0.9557699241642461,4000.9195832008354,1280.0021838894204,2720.917399311415,9,100
SPCT9D90pRa1ihXS5jEw6vCmquI3,27.43362831858407,0.013145004740091084,0.06292123143432533,0.9370787685656746,0.9868549952599088,2578.5442011806294,915.9661629053801,1662.5780382752494,3,113
SdDjNMBD2ZMTEwUphkohi2cZwUx1,21.686746987951807,0.13626788289974726,0.5003127875268619,0.499687212473138,0.8637321171002528,1856.9861734454953,977.0287754026614,879.9573980428339,17,83
SpSfX0ZcfcPLdlOENlfdfvEPwru2,31.944444444444443,0.14981320754887378,0.3262832200888463,0.6737167799111536,0.8501867924511262,1929.3003512164144,961.9534521579387,967.3468990584756,13,72
SvtOrPatsnWjicxtyndEzSdO5Wp1,28.915662650602407,0.18199584428462715,0.38493319288460937,0.6150668071153906,0.8180041557153729,2769.87857028396,1322.0244609645817,1447.8541093193783,19,83
ToTCRJ4EX9OL6UlJqmDkaEbggWF2,28.947368421052634,0.17268467002720964,0.4355898064246966,0.5644101935753033,0.8273153299727904,2384.0976346381235,1170.8728863397446,1213.224748298379,17,76
UK6MLdHbCaS4xIz2f3vGdpkbBzG3,32.8125,0.04943870510136546,0.09540238718385376,0.9045976128161461,0.9505612948986345,1546.438608124359,698.3729997081659,848.0656084161931,8,128
Ub7nV8F55kPruh35ZpUcKoBUyn63,46.25,0.19554054436107238,0.2410401280679781,0.7589598719320219,0.8044594556389276,1994.8020504671206,1028.9097874795873,965.8922629875333,13,80
UbqFccqQZZgcqJIqCn3ErH9zQdM2,2.2222222222222223,0.014445538218256873,1.0,1.2275297525633524e-18,0.9855544617817431,3451.696420696287,1439.7860568490746,2011.9103638472125,3,90
UbwuSMtBsHdW3Ji41opk3GInMqi2,9.210526315789473,0.08509546648264842,0.8155776594145299,0.18442234058547013,0.9149045335173516,1742.9549297664464,934.6213638553388,808.3335659111076,11,76
Uryn3G6dNMRdHjTi9jSNnuXQYTf1,2.7027027027027026,0.014084507042243306,1.0,0.0,0.9859154929577567,4834.149999999441,1117.5444444443826,3716.6055555550583,3,74
VwTymW8T68MfpnJvZ2X97ILqDWS2,39.50617283950617,0.1972503464715772,0.2997709022924431,0.7002290977075569,0.8027496535284229,1858.8701094036132,1127.0079801077534,731.8621292958599,15,81
WKzqsLX1lNVSdbGgYTTVGtFwsrF3,18.823529411764707,0.17193395128141664,0.7422043731232513,0.2577956268767487,0.8280660487185832,3208.9362733519724,1368.7439310964498,1840.1923422555226,23,85
WbOfW9KmUkPQK8o5hlHJnJFdpp92,43.29896907216495,0.2108732474212477,0.27681840879705466,0.7231815912029453,0.7891267525787523,1938.2179272616163,1251.9193672040763,686.29856005754,13,97
WcTsIpSoEhYeIBSNjAbbdaNSBya2,39.784946236559136,0.29497887075819734,0.36080607511695784,0.6391939248830422,0.7050211292418027,2058.5591736471574,1456.6367669181618,601.9224067289956,29,93
WeHQDy9BWldTlaQDVVlsJNCqwxA2,16.822429906542055,0.13565581999362764,0.5329511176652298,0.4670488823347701,0.8643441800063723,2005.5325836046306,1166.5922496082924,838.9403339963383,19,107
Wfo71fsX1VVfPZnzhT7HEYBTwnq1,47.88732394366197,0.06793841763438854,0.09874952765801114,0.901250472341989,0.9320615823656115,1744.3445716599722,884.4524464276399,859.8921252323323,5,71
WnC6Uscb5VMIr43GASKiUCO3AYH2,15.277777777777779,0.03849399476433546,0.28254603294472075,0.7174539670552792,0.9615060052356645,2471.398077177456,988.8443628075981,1482.5537143698577,5,72
WqoZv41KTtTCuPKBPyClregrKAi1,40.44943820224719,0.30068792992088733,0.3528700581377545,0.6471299418622455,0.6993120700791127,2009.927996531105,1127.2499022278066,882.6780943032984,27,89
XehZHBpwr5MYzUXkj0FAYCsFG922,22.123893805309734,0.11989006818962529,0.3518052479356857,0.6481947520643143,0.8801099318103748,1962.033522689639,1116.3394650648186,845.6940576248205,17,113
YEU5ox3jteVINfdSTg5ymqYcS9o2,22.388059701492537,0.09148047977141247,0.3519542126980696,0.6480457873019304,0.9085195202285875,3143.640131033976,1221.5699749226271,1922.070156111349,9,67
Yco8O7tmHlbsUBfKW2ywcZByGO32,50.0,0.9999514993752409,0.9999999999988612,1.138846979787896e-12,4.850062475914637e-05,1707.1357522377216,1168.1268093027568,539.0089429349648,63,64
Z3GikGkUkjMOa6UK1xdIDvuGRHp2,10.465116279069768,0.11380568169013466,0.9999626072065716,3.7392793428407194e-05,0.8861943183098654,2337.976004216387,1281.3234918822704,1056.6525123341166,17,86
ZEd5KGl23wS7rvzDkxzgqmCgLaC3,10.0,0.07359019075408738,0.7403004332650769,0.25969956673492317,0.9264098092459125,2727.2432440160615,1297.2780213431104,1429.965222672951,11,80
