suite,file,task,metric,beta_ucla,se_ucla,p_ucla,n,r_squared,cohens_d,p_fdr,significant_fdr,significant,marginal
error_monitoring,error_awareness.csv,stroop,cv_reduction,-0.0319069154670469,0.0536499119952708,0.5520276623581476,38,0.0749286609113089,-0.1929540973494874,0.9975890057057456,False,False,False
error_monitoring,error_cascade.csv,wcst,mean_burst_length,-0.0500187465696089,0.0944185610119052,0.5962815021559629,171,0.0362548852188094,-0.08102282240957248,0.9975890057057456,False,False,False
reinforcement_learning,ucla_rl_relationship.csv,,alpha_interaction,0.0294159815415214,0.0558327044472273,0.5982912748148876,162,0.0081762250215091,0.0827879574612974,0.9975890057057456,False,False,False
ddm,ucla_ddm_relationship.csv,,t,-0.0081601375571178,0.0196034942674832,0.6772202430368468,102,0.1190233550097394,-0.08243163226194765,0.9975890057057456,False,False,False
control_strategy,rule_anticipation.csv,wcst,pre_switch_slowing,-24.568770446636865,62.2417315272888,0.6930410719786037,164,0.0291234285544195,-0.061646699271960696,0.9975890057057456,False,False,False
ddm,ucla_ddm_relationship.csv,,t_interaction,0.0079562409259298,0.0216660363571372,0.7134535775783597,102,0.1190233550097394,0.07272075311130675,0.9975890057057456,False,False,False
error_monitoring,conflict_detection.csv,stroop,interference,4.262253292870692,13.011332966091338,0.7432291971333781,171,0.0370466924417173,0.05010134727289678,0.9975890057057456,False,False,False
error_monitoring,error_awareness.csv,stroop,post_error_acc,-0.0104136548080281,0.0318072949681013,0.743366640006416,38,0.1303592780302126,-0.10622204018403257,0.9975890057057456,False,False,False
control_strategy,rule_anticipation.csv,wcst,switch_cost,29.898783991712204,91.50441014741934,0.7438593108440518,164,0.0221672997595152,0.051029295356997816,0.9975890057057456,False,False,False
error_monitoring,error_awareness.csv,stroop,recovery_rate,0.021838087366798,0.0709717388580883,0.7583097263276575,24,0.3167124658717855,0.12561847825544334,0.9975890057057456,False,False,False
error_monitoring,pes_decomposition.csv,stroop,acc_diff,-0.0098291145732273,0.0323706014894257,0.761399699161609,38,0.1283492715235265,-0.09851487838722332,0.9975890057057456,False,False,False
control_strategy,congruency_proportion.csv,stroop,overall_interference,3.5342656805719974,13.344951134217782,0.791133366506389,171,0.043779113685178,0.0405055138654874,0.9975890057057456,False,False,False
reinforcement_learning,ucla_rl_relationship.csv,,alpha_pos,-0.0128481649536416,0.0544685419206758,0.8135240031902077,162,0.0483050733667452,-0.037065327553875524,0.9975890057057456,False,False,False
error_monitoring,pes_decomposition.csv,wcst,pes,-8.605862488963826,37.98816389558316,0.8207809642040457,158,0.0305045627151236,-0.03604520928428383,0.9975890057057456,False,False,False
reinforcement_learning,ucla_rl_relationship.csv,,alpha_asymmetry,-0.0143695662291679,0.0756177056576709,0.8492863100871165,162,0.0581344210603675,-0.02986019576288975,0.9975890057057456,False,False,False
reinforcement_learning,ucla_rl_relationship.csv,,alpha_neg_interaction,-0.0133769647655877,0.0745784529662584,0.8576490002823032,162,0.0243255107482874,-0.028184913175987522,0.9975890057057456,False,False,False
attention_depletion,tau_accumulation.csv,stroop,tau_slope,2.993137809209655,17.47236113461351,0.863982374807012,171,0.0133249480316377,0.026200347767737376,0.9975890057057456,False,False,False
attention_depletion,fatigue_trajectory.csv,prp,rt_fatigue_slope,-5.192629024411207,30.401954239924084,0.8643816694725455,169,0.057745651328132,-0.026276797782508774,0.9975890057057456,False,False,False
error_monitoring,pes_decomposition.csv,stroop,pes,-11.636894757462986,81.58553136707117,0.8865790108171321,38,0.0941896498480495,-0.04627667610844745,0.9975890057057456,False,False,False
attention_depletion,sustained_attention_index.csv,,sustained_attention_index,-0.0125304096279196,0.0937187649216396,0.8936380268205176,171,0.0180906984904437,-0.020448933024185052,0.9975890057057456,False,False,False
ddm,ucla_ddm_relationship.csv,,a,0.0006991295131921,0.0056924582190057,0.9022521690278243,102,0.0734696275456423,0.02432135092000903,0.9975890057057456,False,False,False
reinforcement_learning,ucla_rl_relationship.csv,,beta,0.0324538776655869,0.2945661888696095,0.9122704599539576,162,0.0308935693089764,0.017312356528387193,0.9975890057057456,False,False,False
reinforcement_learning,ucla_rl_relationship.csv,,beta_interaction,0.0415014750481211,0.45757240536382,0.927731564747444,162,0.0308935693089764,0.014252012525117918,0.9975890057057456,False,False,False
error_monitoring,error_awareness.csv,wcst,cv_reduction,0.0003496076545086,0.0111677769836571,0.9750262746594764,158,0.0463474628975486,0.004980989798684695,0.9975890057057456,False,False,False
